2021-07-04 00:00:13,563 - luck.py[line:39] - INFO: {'TIME': 1625328013564, 'TBTC': 14167.316, 'BTC': 34576.477, 'RATIO_BTC': 0.41, 'BUNNY': 16.319, 'BNBTC': 0.191}
2021-07-04 00:00:39,229 - luck.py[line:39] - INFO: {'TIME': 1625328039230, 'TBTC': 14167.316, 'BTC': 34576.477, 'RATIO_BTC': 0.41, 'BUNNY': 16.32, 'BNBTC': 0.191}
2021-07-04 00:00:56,367 - luck.py[line:39] - INFO: {'TIME': 1625328056368, 'TBTC': 14167.316, 'BTC': 34576.477, 'RATIO_BTC': 0.41, 'BUNNY': 16.32, 'BNBTC': 0.191}
2021-07-04 00:01:24,129 - luck.py[line:39] - INFO: {'TIME': 1625328084129, 'TBTC': 14167.316, 'BTC': 34576.477, 'RATIO_BTC': 0.41, 'BUNNY': 16.32, 'BNBTC': 0.191}
2021-07-04 00:01:47,456 - luck.py[line:39] - INFO: {'TIME': 1625328107456, 'TBTC': 14167.316, 'BTC': 34576.477, 'RATIO_BTC': 0.41, 'BUNNY': 16.371, 'BNBTC': 0.191}
2021-07-04 00:02:15,888 - luck.py[line:39] - INFO: {'TIME': 1625328135889, 'TBTC': 14167.316, 'BTC': 34570.879, 'RATIO_BTC': 0.41, 'BUNNY': 16.371, 'BNBTC': 0.191}
2021-07-04 00:02:34,152 - luck.py[line:39] - INFO: {'TIME': 1625328154152, 'TBTC': 14167.316, 'BTC': 34611.332, 'RATIO_BTC': 0.41, 'BUNNY': 16.378, 'BNBTC': 0.191}
2021-07-04 00:02:51,996 - luck.py[line:39] - INFO: {'TIME': 1625328171996, 'TBTC': 14167.316, 'BTC': 34739.909, 'RATIO_BTC': 0.41, 'BUNNY': 16.383, 'BNBTC': 0.191}
2021-07-04 00:03:15,644 - luck.py[line:39] - INFO: {'TIME': 1625328195645, 'TBTC': 14167.316, 'BTC': 34655.556, 'RATIO_BTC': 0.41, 'BUNNY': 16.383, 'BNBTC': 0.191}
2021-07-04 00:03:40,334 - luck.py[line:39] - INFO: {'TIME': 1625328220335, 'TBTC': 14167.316, 'BTC': 34655.556, 'RATIO_BTC': 0.41, 'BUNNY': 16.383, 'BNBTC': 0.191}
2021-07-04 00:04:10,803 - luck.py[line:39] - INFO: {'TIME': 1625328250804, 'TBTC': 14167.316, 'BTC': 34662.414, 'RATIO_BTC': 0.41, 'BUNNY': 16.412, 'BNBTC': 0.191}
2021-07-04 00:04:35,952 - luck.py[line:39] - INFO: {'TIME': 1625328275952, 'TBTC': 14167.316, 'BTC': 34763.613, 'RATIO_BTC': 0.41, 'BUNNY': 16.412, 'BNBTC': 0.191}
