2021-07-08 00:00:02,247 - luck.py[line:39] - INFO: {'TIME': 1625673602248, 'TBTC': 13592.817, 'BTC': 34576.898, 'RATIO_BTC': 0.39, 'BUNNY': 19.327, 'BNBTC': 0.198}
2021-07-08 00:00:27,728 - luck.py[line:39] - INFO: {'TIME': 1625673627728, 'TBTC': 13592.817, 'BTC': 34577.254, 'RATIO_BTC': 0.39, 'BUNNY': 19.327, 'BNBTC': 0.198}
2021-07-08 00:00:55,843 - luck.py[line:39] - INFO: {'TIME': 1625673655843, 'TBTC': 13592.817, 'BTC': 34577.254, 'RATIO_BTC': 0.39, 'BUNNY': 19.326, 'BNBTC': 0.198}
2021-07-08 00:01:26,447 - luck.py[line:39] - INFO: {'TIME': 1625673686448, 'TBTC': 13592.817, 'BTC': 34558.684, 'RATIO_BTC': 0.39, 'BUNNY': 19.312, 'BNBTC': 0.198}
2021-07-08 00:01:51,427 - luck.py[line:39] - INFO: {'TIME': 1625673711427, 'TBTC': 13592.817, 'BTC': 34577.233, 'RATIO_BTC': 0.39, 'BUNNY': 19.396, 'BNBTC': 0.198}
2021-07-08 00:02:17,237 - luck.py[line:39] - INFO: {'TIME': 1625673737238, 'TBTC': 13592.817, 'BTC': 34558.684, 'RATIO_BTC': 0.39, 'BUNNY': 19.396, 'BNBTC': 0.198}
2021-07-08 00:02:49,540 - luck.py[line:39] - INFO: {'TIME': 1625673769541, 'TBTC': 13592.817, 'BTC': 34574.082, 'RATIO_BTC': 0.39, 'BUNNY': 19.396, 'BNBTC': 0.192}
2021-07-08 00:03:19,155 - luck.py[line:39] - INFO: {'TIME': 1625673799155, 'TBTC': 13592.817, 'BTC': 34634.605, 'RATIO_BTC': 0.39, 'BUNNY': 19.396, 'BNBTC': 0.193}
2021-07-08 00:03:41,364 - luck.py[line:39] - INFO: {'TIME': 1625673821364, 'TBTC': 13592.817, 'BTC': 34547.268, 'RATIO_BTC': 0.39, 'BUNNY': 19.396, 'BNBTC': 0.193}
2021-07-08 00:04:03,439 - luck.py[line:39] - INFO: {'TIME': 1625673843440, 'TBTC': 13592.817, 'BTC': 34547.273, 'RATIO_BTC': 0.39, 'BUNNY': 19.392, 'BNBTC': 0.193}
2021-07-08 00:04:26,632 - luck.py[line:39] - INFO: {'TIME': 1625673866632, 'TBTC': 13592.817, 'BTC': 34573.217, 'RATIO_BTC': 0.39, 'BUNNY': 19.392, 'BNBTC': 0.194}
2021-07-08 00:04:48,649 - luck.py[line:39] - INFO: {'TIME': 1625673888650, 'TBTC': 13592.817, 'BTC': 34573.217, 'RATIO_BTC': 0.39, 'BUNNY': 19.354, 'BNBTC': 0.194}
2021-07-08 00:05:17,275 - luck.py[line:39] - INFO: {'TIME': 1625673917275, 'TBTC': 13592.817, 'BTC': 34529.246, 'RATIO_BTC': 0.39, 'BUNNY': 19.352, 'BNBTC': 0.194}
2021-07-08 00:05:37,416 - luck.py[line:39] - INFO: {'TIME': 1625673937416, 'TBTC': 13592.817, 'BTC': 34570.324, 'RATIO_BTC': 0.39, 'BUNNY': 19.352, 'BNBTC': 0.194}
2021-07-08 00:06:05,414 - luck.py[line:39] - INFO: {'TIME': 1625673965414, 'TBTC': 13592.817, 'BTC': 34570.324, 'RATIO_BTC': 0.39, 'BUNNY': 19.346, 'BNBTC': 0.197}
2021-07-08 00:06:29,061 - luck.py[line:39] - INFO: {'TIME': 1625673989061, 'TBTC': 13592.817, 'BTC': 34558.683, 'RATIO_BTC': 0.39, 'BUNNY': 19.345, 'BNBTC': 0.197}
2021-07-08 00:06:50,653 - luck.py[line:39] - INFO: {'TIME': 1625674010653, 'TBTC': 13592.817, 'BTC': 34558.683, 'RATIO_BTC': 0.39, 'BUNNY': 19.313, 'BNBTC': 0.197}
2021-07-08 00:07:16,514 - luck.py[line:39] - INFO: {'TIME': 1625674036515, 'TBTC': 13592.817, 'BTC': 34542.624, 'RATIO_BTC': 0.39, 'BUNNY': 19.313, 'BNBTC': 0.197}
2021-07-08 00:07:37,588 - luck.py[line:39] - INFO: {'TIME': 1625674057589, 'TBTC': 13592.817, 'BTC': 34565.834, 'RATIO_BTC': 0.39, 'BUNNY': 19.339, 'BNBTC': 0.195}
2021-07-08 00:08:02,137 - luck.py[line:39] - INFO: {'TIME': 1625674082137, 'TBTC': 13592.817, 'BTC': 34538.855, 'RATIO_BTC': 0.39, 'BUNNY': 19.339, 'BNBTC': 0.195}
2021-07-08 00:08:23,267 - luck.py[line:39] - INFO: {'TIME': 1625674103267, 'TBTC': 13592.817, 'BTC': 34554.965, 'RATIO_BTC': 0.39, 'BUNNY': 19.34, 'BNBTC': 0.186}
2021-07-08 00:08:50,090 - luck.py[line:39] - INFO: {'TIME': 1625674130090, 'TBTC': 13592.817, 'BTC': 34554.965, 'RATIO_BTC': 0.39, 'BUNNY': 19.276, 'BNBTC': 0.186}
2021-07-08 00:09:22,688 - luck.py[line:39] - INFO: {'TIME': 1625674162688, 'TBTC': 13592.817, 'BTC': 34529.031, 'RATIO_BTC': 0.39, 'BUNNY': 19.268, 'BNBTC': 0.186}
2021-07-08 00:09:45,259 - luck.py[line:39] - INFO: {'TIME': 1625674185260, 'TBTC': 13592.817, 'BTC': 34584.53, 'RATIO_BTC': 0.39, 'BUNNY': 19.183, 'BNBTC': 0.186}
2021-07-08 00:10:08,430 - luck.py[line:39] - INFO: {'TIME': 1625674208430, 'TBTC': 13592.817, 'BTC': 34538.855, 'RATIO_BTC': 0.39, 'BUNNY': 19.186, 'BNBTC': 0.187}
2021-07-08 00:10:32,749 - luck.py[line:39] - INFO: {'TIME': 1625674232749, 'TBTC': 13592.817, 'BTC': 34528.701, 'RATIO_BTC': 0.39, 'BUNNY': 19.186, 'BNBTC': 0.191}
