2021-06-29 18:44:30,106 - luck.py[line:39] - INFO: {'TIME': 1624963470106, 'TBTC': 18061.07, 'BTC': 35607.262, 'RATIO_BTC': 0.51, 'BUNNY': 17.279, 'BNBTC': 0.258}
2021-06-29 18:45:10,282 - luck.py[line:91] - INFO:  🚥 Luck...
2021-06-29 18:45:37,744 - luck.py[line:39] - INFO: {'TIME': 1624963537745, 'TBTC': 18061.07, 'BTC': 35639.591, 'RATIO_BTC': 0.51, 'BUNNY': 17.278, 'BNBTC': 0.255}
2021-06-29 18:46:03,230 - luck.py[line:39] - INFO: {'TIME': 1624963563230, 'TBTC': 18061.07, 'BTC': 35580.27, 'RATIO_BTC': 0.51, 'BUNNY': 17.284, 'BNBTC': 0.255}
2021-06-29 18:46:23,427 - luck.py[line:39] - INFO: {'TIME': 1624963583427, 'TBTC': 18061.07, 'BTC': 35580.27, 'RATIO_BTC': 0.51, 'BUNNY': 17.284, 'BNBTC': 0.255}
2021-06-29 18:46:47,147 - luck.py[line:39] - INFO: {'TIME': 1624963607147, 'TBTC': 18061.07, 'BTC': 35580.27, 'RATIO_BTC': 0.51, 'BUNNY': 17.284, 'BNBTC': 0.255}
2021-06-29 18:47:14,346 - luck.py[line:39] - INFO: {'TIME': 1624963634347, 'TBTC': 18061.07, 'BTC': 35626.07, 'RATIO_BTC': 0.51, 'BUNNY': 17.284, 'BNBTC': 0.255}
2021-06-29 18:47:41,052 - luck.py[line:39] - INFO: {'TIME': 1624963661053, 'TBTC': 18061.07, 'BTC': 35550.519, 'RATIO_BTC': 0.51, 'BUNNY': 17.281, 'BNBTC': 0.255}
2021-06-29 18:48:05,651 - luck.py[line:39] - INFO: {'TIME': 1624963685652, 'TBTC': 18061.07, 'BTC': 35590.416, 'RATIO_BTC': 0.51, 'BUNNY': 17.266, 'BNBTC': 0.255}
2021-06-29 18:48:29,663 - luck.py[line:39] - INFO: {'TIME': 1624963709664, 'TBTC': 18061.07, 'BTC': 35542.254, 'RATIO_BTC': 0.51, 'BUNNY': 17.266, 'BNBTC': 0.255}
2021-06-29 18:48:52,787 - luck.py[line:39] - INFO: {'TIME': 1624963732787, 'TBTC': 18061.07, 'BTC': 35511.953, 'RATIO_BTC': 0.51, 'BUNNY': 17.262, 'BNBTC': 0.255}
2021-06-29 18:49:17,082 - luck.py[line:39] - INFO: {'TIME': 1624963757083, 'TBTC': 18061.07, 'BTC': 35567.914, 'RATIO_BTC': 0.51, 'BUNNY': 17.262, 'BNBTC': 0.255}
