2021-07-02 00:00:11,805 - luck.py[line:39] - INFO: {'TIME': 1625155211805, 'TBTC': 15435.124, 'BTC': 33525.175, 'RATIO_BTC': 0.46, 'BUNNY': 15.281, 'BNBTC': 0.169}
2021-07-02 00:00:45,004 - luck.py[line:39] - INFO: {'TIME': 1625155245004, 'TBTC': 15435.124, 'BTC': 33525.175, 'RATIO_BTC': 0.46, 'BUNNY': 15.282, 'BNBTC': 0.169}
2021-07-02 00:01:11,092 - luck.py[line:39] - INFO: {'TIME': 1625155271092, 'TBTC': 15435.124, 'BTC': 33495.702, 'RATIO_BTC': 0.46, 'BUNNY': 15.293, 'BNBTC': 0.169}
2021-07-02 00:01:34,759 - luck.py[line:39] - INFO: {'TIME': 1625155294760, 'TBTC': 15435.124, 'BTC': 33497.421, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.169}
2021-07-02 00:02:02,951 - luck.py[line:39] - INFO: {'TIME': 1625155322952, 'TBTC': 15435.124, 'BTC': 33497.421, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.169}
2021-07-02 00:02:29,437 - luck.py[line:39] - INFO: {'TIME': 1625155349438, 'TBTC': 15435.124, 'BTC': 33502.645, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.169}
2021-07-02 00:03:13,664 - luck.py[line:91] - INFO:  🚥 Luck...
2021-07-02 00:03:38,884 - luck.py[line:39] - INFO: {'TIME': 1625155418884, 'TBTC': 15435.124, 'BTC': 33382.655, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.171}
2021-07-02 00:03:58,125 - luck.py[line:39] - INFO: {'TIME': 1625155438125, 'TBTC': 15435.124, 'BTC': 33382.655, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.171}
2021-07-02 00:04:20,657 - luck.py[line:39] - INFO: {'TIME': 1625155460657, 'TBTC': 15435.124, 'BTC': 33503.699, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.171}
2021-07-02 00:04:46,394 - luck.py[line:39] - INFO: {'TIME': 1625155486394, 'TBTC': 15435.124, 'BTC': 33365.074, 'RATIO_BTC': 0.46, 'BUNNY': 15.221, 'BNBTC': 0.171}
