2021-07-03 00:00:05,645 - luck.py[line:39] - INFO: {'TIME': 1625241605645, 'TBTC': 14709.106, 'BTC': 33597.535, 'RATIO_BTC': 0.44, 'BUNNY': 15.245, 'BNBTC': 0.184}
2021-07-03 00:00:33,658 - luck.py[line:39] - INFO: {'TIME': 1625241633659, 'TBTC': 14709.106, 'BTC': 33630.097, 'RATIO_BTC': 0.44, 'BUNNY': 15.245, 'BNBTC': 0.184}
2021-07-03 00:00:54,295 - luck.py[line:39] - INFO: {'TIME': 1625241654295, 'TBTC': 14709.106, 'BTC': 33629.768, 'RATIO_BTC': 0.44, 'BUNNY': 15.262, 'BNBTC': 0.184}
2021-07-03 00:01:23,700 - luck.py[line:39] - INFO: {'TIME': 1625241683700, 'TBTC': 14709.106, 'BTC': 33660.098, 'RATIO_BTC': 0.44, 'BUNNY': 15.285, 'BNBTC': 0.188}
2021-07-03 00:01:49,470 - luck.py[line:39] - INFO: {'TIME': 1625241709471, 'TBTC': 14709.106, 'BTC': 33662.819, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.188}
2021-07-03 00:02:10,361 - luck.py[line:39] - INFO: {'TIME': 1625241730362, 'TBTC': 14709.106, 'BTC': 33646.7, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.192}
2021-07-03 00:02:30,350 - luck.py[line:39] - INFO: {'TIME': 1625241750351, 'TBTC': 14709.106, 'BTC': 33646.7, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.192}
2021-07-03 00:02:47,738 - luck.py[line:39] - INFO: {'TIME': 1625241767738, 'TBTC': 14709.106, 'BTC': 33645.723, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.192}
2021-07-03 00:03:10,918 - luck.py[line:39] - INFO: {'TIME': 1625241790918, 'TBTC': 14709.106, 'BTC': 33645.723, 'RATIO_BTC': 0.44, 'BUNNY': 15.284, 'BNBTC': 0.186}
2021-07-03 00:03:38,309 - luck.py[line:39] - INFO: {'TIME': 1625241818309, 'TBTC': 14709.106, 'BTC': 33645.723, 'RATIO_BTC': 0.44, 'BUNNY': 15.284, 'BNBTC': 0.188}
2021-07-03 00:03:59,654 - luck.py[line:39] - INFO: {'TIME': 1625241839654, 'TBTC': 14709.106, 'BTC': 33652.909, 'RATIO_BTC': 0.44, 'BUNNY': 15.284, 'BNBTC': 0.188}
2021-07-03 00:04:18,975 - luck.py[line:39] - INFO: {'TIME': 1625241858975, 'TBTC': 14709.106, 'BTC': 33659.777, 'RATIO_BTC': 0.44, 'BUNNY': 15.289, 'BNBTC': 0.188}
2021-07-03 00:04:41,809 - luck.py[line:39] - INFO: {'TIME': 1625241881809, 'TBTC': 14709.106, 'BTC': 33655.539, 'RATIO_BTC': 0.44, 'BUNNY': 15.287, 'BNBTC': 0.188}
2021-07-03 00:05:03,888 - luck.py[line:39] - INFO: {'TIME': 1625241903889, 'TBTC': 14709.106, 'BTC': 33656.211, 'RATIO_BTC': 0.44, 'BUNNY': 15.287, 'BNBTC': 0.188}
2021-07-03 00:05:25,120 - luck.py[line:39] - INFO: {'TIME': 1625241925121, 'TBTC': 14709.106, 'BTC': 33656.211, 'RATIO_BTC': 0.44, 'BUNNY': 15.291, 'BNBTC': 0.188}
2021-07-03 00:05:48,026 - luck.py[line:39] - INFO: {'TIME': 1625241948026, 'TBTC': 14709.106, 'BTC': 33656.211, 'RATIO_BTC': 0.44, 'BUNNY': 15.291, 'BNBTC': 0.188}
2021-07-03 00:06:11,652 - luck.py[line:39] - INFO: {'TIME': 1625241971653, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:06:30,895 - luck.py[line:39] - INFO: {'TIME': 1625241990896, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:06:54,644 - luck.py[line:39] - INFO: {'TIME': 1625242014645, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:07:20,917 - luck.py[line:39] - INFO: {'TIME': 1625242040917, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:07:47,057 - luck.py[line:39] - INFO: {'TIME': 1625242067058, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.297, 'BNBTC': 0.188}
2021-07-03 00:08:10,217 - luck.py[line:39] - INFO: {'TIME': 1625242090217, 'TBTC': 14709.106, 'BTC': 33663.417, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:08:30,157 - luck.py[line:39] - INFO: {'TIME': 1625242110157, 'TBTC': 14709.106, 'BTC': 33663.417, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.188}
2021-07-03 00:09:10,519 - luck.py[line:92] - INFO:  🚥 Luck...
2021-07-03 00:09:34,107 - luck.py[line:39] - INFO: {'TIME': 1625242174108, 'TBTC': 14709.106, 'BTC': 33665.535, 'RATIO_BTC': 0.44, 'BUNNY': 15.286, 'BNBTC': 0.188}
