2021-07-06 00:00:03,592 - luck.py[line:39] - INFO: {'TIME': 1625500803593, 'TBTC': 13713.332, 'BTC': 33688.876, 'RATIO_BTC': 0.41, 'BUNNY': 17.88, 'BNBTC': 0.221}
2021-07-06 00:00:32,882 - luck.py[line:39] - INFO: {'TIME': 1625500832882, 'TBTC': 13713.332, 'BTC': 33688.876, 'RATIO_BTC': 0.41, 'BUNNY': 17.881, 'BNBTC': 0.221}
2021-07-06 00:01:04,597 - luck.py[line:39] - INFO: {'TIME': 1625500864597, 'TBTC': 13713.332, 'BTC': 33645.016, 'RATIO_BTC': 0.41, 'BUNNY': 17.881, 'BNBTC': 0.221}
2021-07-06 00:01:30,722 - luck.py[line:39] - INFO: {'TIME': 1625500890723, 'TBTC': 13713.332, 'BTC': 33618.928, 'RATIO_BTC': 0.41, 'BUNNY': 17.871, 'BNBTC': 0.221}
2021-07-06 00:01:51,410 - luck.py[line:39] - INFO: {'TIME': 1625500911411, 'TBTC': 13713.332, 'BTC': 33655.476, 'RATIO_BTC': 0.41, 'BUNNY': 17.872, 'BNBTC': 0.221}
2021-07-06 00:02:14,771 - luck.py[line:39] - INFO: {'TIME': 1625500934772, 'TBTC': 13713.332, 'BTC': 33655.476, 'RATIO_BTC': 0.41, 'BUNNY': 17.871, 'BNBTC': 0.221}
2021-07-06 00:02:38,286 - luck.py[line:39] - INFO: {'TIME': 1625500958287, 'TBTC': 13713.332, 'BTC': 33682.276, 'RATIO_BTC': 0.41, 'BUNNY': 17.871, 'BNBTC': 0.221}
2021-07-06 00:03:03,701 - luck.py[line:39] - INFO: {'TIME': 1625500983701, 'TBTC': 13713.332, 'BTC': 33682.276, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.221}
2021-07-06 00:03:28,338 - luck.py[line:39] - INFO: {'TIME': 1625501008339, 'TBTC': 13713.332, 'BTC': 33718.539, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.221}
2021-07-06 00:03:48,067 - luck.py[line:39] - INFO: {'TIME': 1625501028068, 'TBTC': 13713.332, 'BTC': 33718.538, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.221}
2021-07-06 00:04:07,539 - luck.py[line:39] - INFO: {'TIME': 1625501047539, 'TBTC': 13713.332, 'BTC': 33725.504, 'RATIO_BTC': 0.41, 'BUNNY': 17.903, 'BNBTC': 0.217}
2021-07-06 00:04:25,207 - luck.py[line:39] - INFO: {'TIME': 1625501065207, 'TBTC': 13713.332, 'BTC': 33725.504, 'RATIO_BTC': 0.41, 'BUNNY': 17.903, 'BNBTC': 0.217}
2021-07-06 00:04:51,935 - luck.py[line:39] - INFO: {'TIME': 1625501091936, 'TBTC': 13713.332, 'BTC': 33723.635, 'RATIO_BTC': 0.41, 'BUNNY': 17.903, 'BNBTC': 0.217}
2021-07-06 00:05:19,699 - luck.py[line:39] - INFO: {'TIME': 1625501119699, 'TBTC': 13713.332, 'BTC': 33766.363, 'RATIO_BTC': 0.41, 'BUNNY': 17.9, 'BNBTC': 0.214}
2021-07-06 00:05:48,830 - luck.py[line:39] - INFO: {'TIME': 1625501148830, 'TBTC': 13713.332, 'BTC': 33718.136, 'RATIO_BTC': 0.41, 'BUNNY': 17.9, 'BNBTC': 0.214}
2021-07-06 00:06:09,167 - luck.py[line:39] - INFO: {'TIME': 1625501169167, 'TBTC': 13713.332, 'BTC': 33718.344, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.214}
2021-07-06 00:06:29,589 - luck.py[line:39] - INFO: {'TIME': 1625501189590, 'TBTC': 13713.332, 'BTC': 33718.344, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.214}
2021-07-06 00:07:14,625 - luck.py[line:92] - INFO:  🚥 Luck...
2021-07-06 00:07:40,543 - luck.py[line:39] - INFO: {'TIME': 1625501260544, 'TBTC': 13713.332, 'BTC': 33806.389, 'RATIO_BTC': 0.41, 'BUNNY': 17.963, 'BNBTC': 0.214}
2021-07-06 00:08:03,010 - luck.py[line:39] - INFO: {'TIME': 1625501283011, 'TBTC': 13713.332, 'BTC': 33796.948, 'RATIO_BTC': 0.41, 'BUNNY': 17.963, 'BNBTC': 0.214}
2021-07-06 00:08:23,959 - luck.py[line:39] - INFO: {'TIME': 1625501303960, 'TBTC': 13713.332, 'BTC': 33796.948, 'RATIO_BTC': 0.41, 'BUNNY': 17.909, 'BNBTC': 0.214}
2021-07-06 00:08:49,778 - luck.py[line:39] - INFO: {'TIME': 1625501329778, 'TBTC': 13713.332, 'BTC': 33796.948, 'RATIO_BTC': 0.41, 'BUNNY': 17.909, 'BNBTC': 0.214}
2021-07-06 00:09:08,475 - luck.py[line:39] - INFO: {'TIME': 1625501348475, 'TBTC': 13713.332, 'BTC': 33796.948, 'RATIO_BTC': 0.41, 'BUNNY': 17.895, 'BNBTC': 0.214}
2021-07-06 00:09:34,924 - luck.py[line:39] - INFO: {'TIME': 1625501374925, 'TBTC': 13713.332, 'BTC': 33736.641, 'RATIO_BTC': 0.41, 'BUNNY': 17.895, 'BNBTC': 0.214}
2021-07-06 00:10:00,006 - luck.py[line:39] - INFO: {'TIME': 1625501400007, 'TBTC': 13713.332, 'BTC': 33737.23, 'RATIO_BTC': 0.41, 'BUNNY': 17.895, 'BNBTC': 0.214}
2021-07-06 00:10:19,800 - luck.py[line:39] - INFO: {'TIME': 1625501419801, 'TBTC': 13713.332, 'BTC': 33737.23, 'RATIO_BTC': 0.41, 'BUNNY': 17.914, 'BNBTC': 0.215}
2021-07-06 00:10:39,731 - luck.py[line:39] - INFO: {'TIME': 1625501439731, 'TBTC': 13713.332, 'BTC': 33737.23, 'RATIO_BTC': 0.41, 'BUNNY': 17.914, 'BNBTC': 0.221}
2021-07-06 00:11:01,278 - luck.py[line:39] - INFO: {'TIME': 1625501461279, 'TBTC': 13713.332, 'BTC': 33736.964, 'RATIO_BTC': 0.41, 'BUNNY': 17.912, 'BNBTC': 0.221}
2021-07-06 00:11:27,449 - luck.py[line:39] - INFO: {'TIME': 1625501487449, 'TBTC': 13713.332, 'BTC': 33736.964, 'RATIO_BTC': 0.41, 'BUNNY': 17.911, 'BNBTC': 0.221}
2021-07-06 00:11:46,890 - luck.py[line:39] - INFO: {'TIME': 1625501506891, 'TBTC': 13713.332, 'BTC': 33695.672, 'RATIO_BTC': 0.41, 'BUNNY': 17.911, 'BNBTC': 0.221}
2021-07-06 00:12:07,404 - luck.py[line:39] - INFO: {'TIME': 1625501527405, 'TBTC': 13713.332, 'BTC': 33695.672, 'RATIO_BTC': 0.41, 'BUNNY': 17.864, 'BNBTC': 0.221}
2021-07-06 00:12:32,236 - luck.py[line:39] - INFO: {'TIME': 1625501552236, 'TBTC': 13713.332, 'BTC': 33695.672, 'RATIO_BTC': 0.41, 'BUNNY': 17.889, 'BNBTC': 0.221}
2021-07-06 00:12:57,986 - luck.py[line:39] - INFO: {'TIME': 1625501577987, 'TBTC': 13713.332, 'BTC': 33693.793, 'RATIO_BTC': 0.41, 'BUNNY': 17.889, 'BNBTC': 0.221}
2021-07-06 00:13:18,451 - luck.py[line:39] - INFO: {'TIME': 1625501598451, 'TBTC': 13713.332, 'BTC': 33693.793, 'RATIO_BTC': 0.41, 'BUNNY': 17.889, 'BNBTC': 0.221}
2021-07-06 00:13:39,570 - luck.py[line:39] - INFO: {'TIME': 1625501619571, 'TBTC': 13713.332, 'BTC': 33695.561, 'RATIO_BTC': 0.41, 'BUNNY': 17.889, 'BNBTC': 0.221}
2021-07-06 00:14:05,063 - luck.py[line:39] - INFO: {'TIME': 1625501645063, 'TBTC': 13713.332, 'BTC': 33746.164, 'RATIO_BTC': 0.41, 'BUNNY': 17.889, 'BNBTC': 0.221}
2021-07-06 00:14:27,486 - luck.py[line:39] - INFO: {'TIME': 1625501667487, 'TBTC': 13713.332, 'BTC': 33704.209, 'RATIO_BTC': 0.41, 'BUNNY': 17.894, 'BNBTC': 0.221}
2021-07-06 00:14:52,216 - luck.py[line:39] - INFO: {'TIME': 1625501692216, 'TBTC': 13713.332, 'BTC': 33704.209, 'RATIO_BTC': 0.41, 'BUNNY': 17.894, 'BNBTC': 0.221}
2021-07-06 00:15:14,756 - luck.py[line:39] - INFO: {'TIME': 1625501714756, 'TBTC': 13713.332, 'BTC': 33661.699, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.221}
2021-07-06 00:15:37,944 - luck.py[line:39] - INFO: {'TIME': 1625501737944, 'TBTC': 13713.332, 'BTC': 33661.698, 'RATIO_BTC': 0.41, 'BUNNY': 17.899, 'BNBTC': 0.221}
2021-07-06 00:16:00,168 - luck.py[line:39] - INFO: {'TIME': 1625501760168, 'TBTC': 13713.332, 'BTC': 33706.558, 'RATIO_BTC': 0.41, 'BUNNY': 17.898, 'BNBTC': 0.221}
2021-07-06 00:16:25,845 - luck.py[line:39] - INFO: {'TIME': 1625501785846, 'TBTC': 13713.332, 'BTC': 33688.773, 'RATIO_BTC': 0.41, 'BUNNY': 17.9, 'BNBTC': 0.221}
2021-07-06 00:16:55,605 - luck.py[line:39] - INFO: {'TIME': 1625501815606, 'TBTC': 13713.332, 'BTC': 33716.009, 'RATIO_BTC': 0.41, 'BUNNY': 17.9, 'BNBTC': 0.221}
