2021-07-11 00:00:02,211 - luck.py[line:39] - INFO: {'TIME': 1625932802211, 'TBTC': 12644.691, 'BTC': 33939.691, 'RATIO_BTC': 0.37, 'BUNNY': 18.241, 'BNBTC': 0.164}
2021-07-11 00:00:20,383 - luck.py[line:39] - INFO: {'TIME': 1625932820384, 'TBTC': 12644.691, 'BTC': 33979.546, 'RATIO_BTC': 0.37, 'BUNNY': 18.311, 'BNBTC': 0.164}
2021-07-11 00:00:39,899 - luck.py[line:39] - INFO: {'TIME': 1625932839899, 'TBTC': 12644.691, 'BTC': 33863.678, 'RATIO_BTC': 0.37, 'BUNNY': 18.31, 'BNBTC': 0.164}
2021-07-11 00:01:02,716 - luck.py[line:39] - INFO: {'TIME': 1625932862717, 'TBTC': 12644.691, 'BTC': 33938.309, 'RATIO_BTC': 0.37, 'BUNNY': 18.289, 'BNBTC': 0.184}
2021-07-11 00:01:27,887 - luck.py[line:39] - INFO: {'TIME': 1625932887888, 'TBTC': 12644.691, 'BTC': 33897.293, 'RATIO_BTC': 0.37, 'BUNNY': 18.291, 'BNBTC': 0.174}
2021-07-11 00:01:46,443 - luck.py[line:39] - INFO: {'TIME': 1625932906444, 'TBTC': 12644.691, 'BTC': 33987.964, 'RATIO_BTC': 0.37, 'BUNNY': 18.381, 'BNBTC': 0.174}
2021-07-11 00:02:04,560 - luck.py[line:39] - INFO: {'TIME': 1625932924560, 'TBTC': 12644.691, 'BTC': 33898.91, 'RATIO_BTC': 0.37, 'BUNNY': 18.381, 'BNBTC': 0.174}
2021-07-11 00:02:27,485 - luck.py[line:39] - INFO: {'TIME': 1625932947486, 'TBTC': 12644.691, 'BTC': 33960.908, 'RATIO_BTC': 0.37, 'BUNNY': 18.361, 'BNBTC': 0.174}
2021-07-11 00:02:56,300 - luck.py[line:39] - INFO: {'TIME': 1625932976300, 'TBTC': 12644.691, 'BTC': 33959.265, 'RATIO_BTC': 0.37, 'BUNNY': 18.362, 'BNBTC': 0.166}
2021-07-11 00:03:22,967 - luck.py[line:39] - INFO: {'TIME': 1625933002968, 'TBTC': 12644.691, 'BTC': 33900.222, 'RATIO_BTC': 0.37, 'BUNNY': 18.398, 'BNBTC': 0.166}
2021-07-11 00:03:47,207 - luck.py[line:39] - INFO: {'TIME': 1625933027207, 'TBTC': 12644.691, 'BTC': 33912.425, 'RATIO_BTC': 0.37, 'BUNNY': 18.398, 'BNBTC': 0.166}
2021-07-11 00:04:13,810 - luck.py[line:39] - INFO: {'TIME': 1625933053810, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.166}
2021-07-11 00:04:34,906 - luck.py[line:39] - INFO: {'TIME': 1625933074906, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.166}
2021-07-11 00:04:56,003 - luck.py[line:39] - INFO: {'TIME': 1625933096003, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.385, 'BNBTC': 0.166}
2021-07-11 00:05:15,252 - luck.py[line:39] - INFO: {'TIME': 1625933115253, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.385, 'BNBTC': 0.166}
2021-07-11 00:05:34,432 - luck.py[line:39] - INFO: {'TIME': 1625933134432, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.385, 'BNBTC': 0.166}
2021-07-11 00:05:56,336 - luck.py[line:39] - INFO: {'TIME': 1625933156337, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.385, 'BNBTC': 0.168}
2021-07-11 00:06:15,129 - luck.py[line:39] - INFO: {'TIME': 1625933175129, 'TBTC': 12644.691, 'BTC': 33927.319, 'RATIO_BTC': 0.37, 'BUNNY': 18.384, 'BNBTC': 0.168}
2021-07-11 00:06:36,189 - luck.py[line:39] - INFO: {'TIME': 1625933196189, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.384, 'BNBTC': 0.173}
2021-07-11 00:07:03,880 - luck.py[line:39] - INFO: {'TIME': 1625933223881, 'TBTC': 12644.691, 'BTC': 33909.488, 'RATIO_BTC': 0.37, 'BUNNY': 18.384, 'BNBTC': 0.171}
2021-07-11 00:07:21,167 - luck.py[line:39] - INFO: {'TIME': 1625933241168, 'TBTC': 12644.691, 'BTC': 33909.488, 'RATIO_BTC': 0.37, 'BUNNY': 18.384, 'BNBTC': 0.171}
2021-07-11 00:07:44,432 - luck.py[line:39] - INFO: {'TIME': 1625933264433, 'TBTC': 12644.691, 'BTC': 33863.68, 'RATIO_BTC': 0.37, 'BUNNY': 18.383, 'BNBTC': 0.171}
2021-07-11 00:08:03,851 - luck.py[line:39] - INFO: {'TIME': 1625933283851, 'TBTC': 12644.691, 'BTC': 33918.335, 'RATIO_BTC': 0.37, 'BUNNY': 18.383, 'BNBTC': 0.169}
2021-07-11 00:08:22,427 - luck.py[line:39] - INFO: {'TIME': 1625933302428, 'TBTC': 12644.691, 'BTC': 33930.43, 'RATIO_BTC': 0.37, 'BUNNY': 18.382, 'BNBTC': 0.174}
2021-07-11 00:08:49,267 - luck.py[line:39] - INFO: {'TIME': 1625933329268, 'TBTC': 12644.691, 'BTC': 33930.43, 'RATIO_BTC': 0.37, 'BUNNY': 18.382, 'BNBTC': 0.174}
2021-07-11 00:09:07,609 - luck.py[line:39] - INFO: {'TIME': 1625933347610, 'TBTC': 12644.691, 'BTC': 33919.104, 'RATIO_BTC': 0.37, 'BUNNY': 18.381, 'BNBTC': 0.173}
2021-07-11 00:09:29,073 - luck.py[line:39] - INFO: {'TIME': 1625933369074, 'TBTC': 12644.691, 'BTC': 33919.104, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.173}
2021-07-11 00:09:51,197 - luck.py[line:39] - INFO: {'TIME': 1625933391197, 'TBTC': 12644.691, 'BTC': 33822.152, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.173}
2021-07-11 00:10:16,142 - luck.py[line:39] - INFO: {'TIME': 1625933416142, 'TBTC': 12644.691, 'BTC': 33914.352, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.173}
2021-07-11 00:10:35,717 - luck.py[line:39] - INFO: {'TIME': 1625933435718, 'TBTC': 12644.691, 'BTC': 33914.352, 'RATIO_BTC': 0.37, 'BUNNY': 18.379, 'BNBTC': 0.176}
2021-07-11 00:10:56,204 - luck.py[line:39] - INFO: {'TIME': 1625933456204, 'TBTC': 12644.691, 'BTC': 33912.077, 'RATIO_BTC': 0.37, 'BUNNY': 18.447, 'BNBTC': 0.176}
2021-07-11 00:11:15,532 - luck.py[line:39] - INFO: {'TIME': 1625933475532, 'TBTC': 12644.691, 'BTC': 33849.761, 'RATIO_BTC': 0.37, 'BUNNY': 18.447, 'BNBTC': 0.176}
2021-07-11 00:11:36,686 - luck.py[line:39] - INFO: {'TIME': 1625933496686, 'TBTC': 12644.691, 'BTC': 33849.761, 'RATIO_BTC': 0.37, 'BUNNY': 18.446, 'BNBTC': 0.174}
2021-07-11 00:11:54,216 - luck.py[line:39] - INFO: {'TIME': 1625933514216, 'TBTC': 12644.691, 'BTC': 33849.761, 'RATIO_BTC': 0.37, 'BUNNY': 18.446, 'BNBTC': 0.174}
2021-07-11 00:12:12,808 - luck.py[line:39] - INFO: {'TIME': 1625933532809, 'TBTC': 12644.691, 'BTC': 33849.761, 'RATIO_BTC': 0.37, 'BUNNY': 18.446, 'BNBTC': 0.174}
2021-07-11 00:12:41,945 - luck.py[line:39] - INFO: {'TIME': 1625933561945, 'TBTC': 12644.691, 'BTC': 33912.077, 'RATIO_BTC': 0.37, 'BUNNY': 18.446, 'BNBTC': 0.172}
2021-07-11 00:13:04,844 - luck.py[line:39] - INFO: {'TIME': 1625933584844, 'TBTC': 12644.691, 'BTC': 33911.773, 'RATIO_BTC': 0.37, 'BUNNY': 18.446, 'BNBTC': 0.172}
2021-07-11 00:13:33,633 - luck.py[line:39] - INFO: {'TIME': 1625933613633, 'TBTC': 12644.691, 'BTC': 33911.773, 'RATIO_BTC': 0.37, 'BUNNY': 18.455, 'BNBTC': 0.172}
2021-07-11 00:13:55,884 - luck.py[line:39] - INFO: {'TIME': 1625933635884, 'TBTC': 12644.691, 'BTC': 33911.773, 'RATIO_BTC': 0.37, 'BUNNY': 18.455, 'BNBTC': 0.172}
2021-07-11 00:14:19,554 - luck.py[line:39] - INFO: {'TIME': 1625933659554, 'TBTC': 12644.691, 'BTC': 33911.773, 'RATIO_BTC': 0.37, 'BUNNY': 18.455, 'BNBTC': 0.172}
2021-07-11 00:14:40,732 - luck.py[line:39] - INFO: {'TIME': 1625933680732, 'TBTC': 12644.691, 'BTC': 33911.773, 'RATIO_BTC': 0.37, 'BUNNY': 18.455, 'BNBTC': 0.172}
2021-07-11 00:14:59,098 - luck.py[line:39] - INFO: {'TIME': 1625933699098, 'TBTC': 12644.691, 'BTC': 33861.082, 'RATIO_BTC': 0.37, 'BUNNY': 18.455, 'BNBTC': 0.172}
