2021-07-05 00:00:02,545 - luck.py[line:39] - INFO: {'TIME': 1625414402546, 'TBTC': 14620.188, 'BTC': 35533.117, 'RATIO_BTC': 0.41, 'BUNNY': 18.25, 'BNBTC': 0.223}
2021-07-05 00:00:27,753 - luck.py[line:39] - INFO: {'TIME': 1625414427753, 'TBTC': 14620.188, 'BTC': 35532.845, 'RATIO_BTC': 0.41, 'BUNNY': 18.312, 'BNBTC': 0.223}
2021-07-05 00:00:47,258 - luck.py[line:39] - INFO: {'TIME': 1625414447258, 'TBTC': 14620.188, 'BTC': 35496.86, 'RATIO_BTC': 0.41, 'BUNNY': 18.312, 'BNBTC': 0.223}
2021-07-05 00:01:06,621 - luck.py[line:39] - INFO: {'TIME': 1625414466621, 'TBTC': 14620.188, 'BTC': 35602.64, 'RATIO_BTC': 0.41, 'BUNNY': 18.319, 'BNBTC': 0.223}
2021-07-05 00:01:29,278 - luck.py[line:39] - INFO: {'TIME': 1625414489278, 'TBTC': 14620.188, 'BTC': 35611.861, 'RATIO_BTC': 0.41, 'BUNNY': 18.33, 'BNBTC': 0.226}
2021-07-05 00:02:09,818 - luck.py[line:92] - INFO:  🚥 Luck...
2021-07-05 00:02:38,284 - luck.py[line:39] - INFO: {'TIME': 1625414558284, 'TBTC': 14620.188, 'BTC': 35558.656, 'RATIO_BTC': 0.41, 'BUNNY': 18.363, 'BNBTC': 0.226}
2021-07-05 00:03:03,382 - luck.py[line:39] - INFO: {'TIME': 1625414583382, 'TBTC': 14620.188, 'BTC': 35560.754, 'RATIO_BTC': 0.41, 'BUNNY': 18.361, 'BNBTC': 0.221}
2021-07-05 00:03:26,820 - luck.py[line:39] - INFO: {'TIME': 1625414606821, 'TBTC': 14620.188, 'BTC': 35559.453, 'RATIO_BTC': 0.41, 'BUNNY': 18.359, 'BNBTC': 0.219}
2021-07-05 00:03:54,447 - luck.py[line:39] - INFO: {'TIME': 1625414634448, 'TBTC': 14620.188, 'BTC': 35599.785, 'RATIO_BTC': 0.41, 'BUNNY': 18.36, 'BNBTC': 0.219}
2021-07-05 00:04:15,997 - luck.py[line:39] - INFO: {'TIME': 1625414655997, 'TBTC': 14620.188, 'BTC': 35599.785, 'RATIO_BTC': 0.41, 'BUNNY': 18.36, 'BNBTC': 0.219}
2021-07-05 00:04:39,360 - luck.py[line:39] - INFO: {'TIME': 1625414679361, 'TBTC': 14620.188, 'BTC': 35593.156, 'RATIO_BTC': 0.41, 'BUNNY': 18.36, 'BNBTC': 0.215}
2021-07-05 00:05:09,991 - luck.py[line:39] - INFO: {'TIME': 1625414709992, 'TBTC': 14540.019, 'BTC': 35557.585, 'RATIO_BTC': 0.41, 'BUNNY': 18.323, 'BNBTC': 0.215}
2021-07-05 00:05:37,317 - luck.py[line:39] - INFO: {'TIME': 1625414737317, 'TBTC': 14530.443, 'BTC': 35550.022, 'RATIO_BTC': 0.41, 'BUNNY': 18.315, 'BNBTC': 0.215}
2021-07-05 00:06:09,850 - luck.py[line:39] - INFO: {'TIME': 1625414769851, 'TBTC': 14530.443, 'BTC': 35550.022, 'RATIO_BTC': 0.41, 'BUNNY': 18.288, 'BNBTC': 0.214}
2021-07-05 00:06:32,097 - luck.py[line:39] - INFO: {'TIME': 1625414792097, 'TBTC': 14530.443, 'BTC': 35513.479, 'RATIO_BTC': 0.41, 'BUNNY': 18.288, 'BNBTC': 0.221}
2021-07-05 00:06:52,905 - luck.py[line:39] - INFO: {'TIME': 1625414812905, 'TBTC': 14530.443, 'BTC': 35513.479, 'RATIO_BTC': 0.41, 'BUNNY': 18.296, 'BNBTC': 0.221}
