2021-07-10 00:37:47,836 - pitman.py[line:49] - INFO: {'TIME': 1625848667836, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.413}
2021-07-10 00:38:53,556 - pitman.py[line:49] - INFO: {'TIME': 1625848733557, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.413}
2021-07-10 00:40:05,654 - pitman.py[line:49] - INFO: {'TIME': 1625848805654, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.413}
2021-07-10 00:41:21,471 - pitman.py[line:49] - INFO: {'TIME': 1625848881472, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.413}
2021-07-10 00:42:29,958 - pitman.py[line:49] - INFO: {'TIME': 1625848949958, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.413}
2021-07-10 00:43:35,741 - pitman.py[line:49] - INFO: {'TIME': 1625849015741, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.426}
2021-07-10 00:44:44,601 - pitman.py[line:49] - INFO: {'TIME': 1625849084601, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.43}
2021-07-10 00:45:51,114 - pitman.py[line:49] - INFO: {'TIME': 1625849151114, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:46:58,042 - pitman.py[line:49] - INFO: {'TIME': 1625849218042, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:48:13,430 - pitman.py[line:49] - INFO: {'TIME': 1625849293431, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:49:22,387 - pitman.py[line:49] - INFO: {'TIME': 1625849362387, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:50:39,253 - pitman.py[line:49] - INFO: {'TIME': 1625849439253, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:51:45,685 - pitman.py[line:49] - INFO: {'TIME': 1625849505686, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:53:05,441 - pitman.py[line:49] - INFO: {'TIME': 1625849585442, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:54:13,393 - pitman.py[line:49] - INFO: {'TIME': 1625849653394, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:55:21,697 - pitman.py[line:49] - INFO: {'TIME': 1625849721698, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:56:28,385 - pitman.py[line:49] - INFO: {'TIME': 1625849788385, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:57:35,281 - pitman.py[line:49] - INFO: {'TIME': 1625849855282, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:58:42,490 - pitman.py[line:49] - INFO: {'TIME': 1625849922491, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 00:59:46,641 - pitman.py[line:49] - INFO: {'TIME': 1625849986641, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:00:57,370 - pitman.py[line:49] - INFO: {'TIME': 1625850057371, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:02:07,432 - pitman.py[line:49] - INFO: {'TIME': 1625850127433, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:03:21,246 - pitman.py[line:49] - INFO: {'TIME': 1625850201246, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:04:27,331 - pitman.py[line:49] - INFO: {'TIME': 1625850267331, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:05:45,243 - pitman.py[line:49] - INFO: {'TIME': 1625850345244, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:06:53,782 - pitman.py[line:49] - INFO: {'TIME': 1625850413783, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:08:06,942 - pitman.py[line:49] - INFO: {'TIME': 1625850486943, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:09:19,250 - pitman.py[line:49] - INFO: {'TIME': 1625850559250, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:10:28,022 - pitman.py[line:49] - INFO: {'TIME': 1625850628022, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:11:41,418 - pitman.py[line:49] - INFO: {'TIME': 1625850701419, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:12:47,136 - pitman.py[line:49] - INFO: {'TIME': 1625850767136, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:13:54,564 - pitman.py[line:49] - INFO: {'TIME': 1625850834564, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.443}
2021-07-10 01:15:01,628 - pitman.py[line:49] - INFO: {'TIME': 1625850901629, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.364}
2021-07-10 01:16:10,662 - pitman.py[line:49] - INFO: {'TIME': 1625850970663, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.375}
2021-07-10 01:17:20,439 - pitman.py[line:49] - INFO: {'TIME': 1625851040439, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.375}
2021-07-10 01:18:10,520 - pitman.py[line:101] - INFO: 重启中...
2021-07-10 01:18:31,583 - pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-10 01:18:47,786 - pitman.py[line:49] - INFO: {'TIME': 1625851127787, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.375}
2021-07-10 01:19:57,204 - pitman.py[line:49] - INFO: {'TIME': 1625851197205, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.375}
2021-07-10 01:21:07,909 - pitman.py[line:49] - INFO: {'TIME': 1625851267910, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.357}
2021-07-10 01:22:17,036 - pitman.py[line:49] - INFO: {'TIME': 1625851337036, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.324}
2021-07-10 01:23:34,707 - pitman.py[line:49] - INFO: {'TIME': 1625851414707, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.324}
2021-07-10 01:24:46,179 - pitman.py[line:49] - INFO: {'TIME': 1625851486179, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.324}
2021-07-10 01:25:55,828 - pitman.py[line:49] - INFO: {'TIME': 1625851555828, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.333}
2021-07-10 01:27:05,200 - pitman.py[line:49] - INFO: {'TIME': 1625851625200, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.355}
2021-07-10 01:28:11,054 - pitman.py[line:49] - INFO: {'TIME': 1625851691055, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.355}
2021-07-10 01:29:24,687 - pitman.py[line:49] - INFO: {'TIME': 1625851764687, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.355}
2021-07-10 01:30:31,901 - pitman.py[line:49] - INFO: {'TIME': 1625851831902, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.355}
2021-07-10 01:31:39,141 - pitman.py[line:49] - INFO: {'TIME': 1625851899142, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.355}
2021-07-10 01:32:44,309 - pitman.py[line:101] - INFO: 重启中...
2021-07-10 01:33:05,182 - pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-10 01:33:23,005 - pitman.py[line:49] - INFO: {'TIME': 1625852003006, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.343}
2021-07-10 01:34:32,291 - pitman.py[line:49] - INFO: {'TIME': 1625852072292, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.343}
2021-07-10 01:35:38,369 - pitman.py[line:49] - INFO: {'TIME': 1625852138369, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.345}
2021-07-10 01:36:50,796 - pitman.py[line:49] - INFO: {'TIME': 1625852210797, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:37:55,748 - pitman.py[line:49] - INFO: {'TIME': 1625852275749, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:39:06,289 - pitman.py[line:49] - INFO: {'TIME': 1625852346290, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:40:20,041 - pitman.py[line:49] - INFO: {'TIME': 1625852420041, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:41:26,236 - pitman.py[line:49] - INFO: {'TIME': 1625852486236, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:42:33,400 - pitman.py[line:49] - INFO: {'TIME': 1625852553401, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:43:42,112 - pitman.py[line:49] - INFO: {'TIME': 1625852622112, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.336}
2021-07-10 01:44:49,852 - pitman.py[line:49] - INFO: {'TIME': 1625852689853, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.284}
2021-07-10 01:46:04,232 - pitman.py[line:49] - INFO: {'TIME': 1625852764232, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:47:11,067 - pitman.py[line:49] - INFO: {'TIME': 1625852831068, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:48:23,224 - pitman.py[line:49] - INFO: {'TIME': 1625852903224, 'TDOG': 0.081, 'DOG': 0.219, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:49:33,932 - pitman.py[line:49] - INFO: {'TIME': 1625852973932, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:50:39,778 - pitman.py[line:49] - INFO: {'TIME': 1625853039779, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:51:47,657 - pitman.py[line:49] - INFO: {'TIME': 1625853107658, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:52:55,371 - pitman.py[line:49] - INFO: {'TIME': 1625853175372, 'TDOG': 0.081, 'DOG': 0.22, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:54:03,476 - pitman.py[line:49] - INFO: {'TIME': 1625853243476, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
2021-07-10 01:55:14,700 - pitman.py[line:49] - INFO: {'TIME': 1625853314700, 'TDOG': 0.081, 'DOG': 0.221, 'RATIO_DOG': 0.37, 'BTCST': 18.27}
