2021-06-26 09:44:47,520 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.239, 'RATIO_DOG': 0.36, 'BTCST': 18.25}
2021-06-26 09:45:56,356 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.239, 'RATIO_DOG': 0.36, 'BTCST': 18.221}
2021-06-26 09:47:08,709 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.239, 'RATIO_DOG': 0.36, 'BTCST': 18.156}
2021-06-26 09:48:17,988 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.24, 'RATIO_DOG': 0.36, 'BTCST': 18.192}
2021-06-26 09:49:30,241 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.192}
2021-06-26 09:50:42,513 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.24, 'RATIO_DOG': 0.36, 'BTCST': 18.192}
2021-06-26 09:51:50,208 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.24, 'RATIO_DOG': 0.36, 'BTCST': 18.192}
2021-06-26 09:52:59,959 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 09:54:07,973 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.241, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 09:55:17,606 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.242, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 09:56:27,202 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.242, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 09:57:40,248 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 09:58:48,271 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 09:59:09,351 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 09:59:26,620 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 10:00:33,867 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.195}
2021-06-26 10:01:48,807 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.389}
2021-06-26 10:03:00,044 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.389}
2021-06-26 10:04:09,814 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.389}
2021-06-26 10:05:19,876 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.373}
2021-06-26 10:06:25,404 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:07:35,914 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:08:44,230 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.243, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:09:56,469 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:11:06,623 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:12:14,521 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:13:27,235 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 10:14:35,957 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.087, 'DOG': 0.244, 'RATIO_DOG': 0.36, 'BTCST': 18.405}
2021-06-26 11:09:36,301 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.086, 'DOG': 0.244, 'RATIO_DOG': 0.35, 'BTCST': 18.209}
2021-06-26 13:00:25,774 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 13:00:47,579 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 13:01:11,054 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.252, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:02:20,986 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.252, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:03:27,129 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:04:35,889 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:05:49,345 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:06:58,443 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.255, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:08:04,853 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.255, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:09:10,840 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.255, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:10:22,143 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:11:39,683 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:12:52,018 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.254, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:13:58,333 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:15:10,503 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:16:18,983 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:17:24,745 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:18:30,124 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:19:40,231 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:20:49,960 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 13:21:11,589 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 13:21:34,384 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.252, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:22:46,712 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.252, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:23:58,732 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:25:11,187 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:26:25,015 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
2021-06-26 13:27:36,961 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.591}
