2021-07-03 00:01:13,267 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625241673268, 'TBTC': 14709.106, 'BTC': 33660.098, 'RATIO_BTC': 0.44, 'BUNNY': 15.285, 'BNBTC': 0.188}
2021-07-03 00:02:24,192 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625241744193, 'TBTC': 14709.106, 'BTC': 33646.7, 'RATIO_BTC': 0.44, 'BUNNY': 15.29, 'BNBTC': 0.192}
2021-07-03 00:03:42,534 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625241822534, 'TBTC': 14709.106, 'BTC': 33652.909, 'RATIO_BTC': 0.44, 'BUNNY': 15.284, 'BNBTC': 0.188}
2021-07-03 00:04:57,871 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625241897871, 'TBTC': 14709.106, 'BTC': 33656.211, 'RATIO_BTC': 0.44, 'BUNNY': 15.287, 'BNBTC': 0.188}
2021-07-03 00:06:07,434 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625241967434, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:07:37,256 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242057256, 'TBTC': 14709.106, 'BTC': 33593.785, 'RATIO_BTC': 0.44, 'BUNNY': 15.296, 'BNBTC': 0.188}
2021-07-03 00:08:51,163 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242131163, 'TBTC': 14709.106, 'BTC': 33662.699, 'RATIO_BTC': 0.44, 'BUNNY': 15.286, 'BNBTC': 0.188}
2021-07-03 00:10:03,039 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242203039, 'TBTC': 14709.106, 'BTC': 33665.535, 'RATIO_BTC': 0.44, 'BUNNY': 15.286, 'BNBTC': 0.188}
2021-07-03 00:11:16,154 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242276155, 'TBTC': 14709.106, 'BTC': 33617.191, 'RATIO_BTC': 0.44, 'BUNNY': 15.265, 'BNBTC': 0.188}
2021-07-03 00:12:30,942 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242350942, 'TBTC': 14709.106, 'BTC': 33575.864, 'RATIO_BTC': 0.44, 'BUNNY': 15.257, 'BNBTC': 0.188}
2021-07-03 00:13:44,975 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242424976, 'TBTC': 14709.106, 'BTC': 33571.41, 'RATIO_BTC': 0.44, 'BUNNY': 15.283, 'BNBTC': 0.186}
2021-07-03 00:14:52,329 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242492329, 'TBTC': 14709.106, 'BTC': 33604.377, 'RATIO_BTC': 0.44, 'BUNNY': 15.28, 'BNBTC': 0.186}
2021-07-03 00:16:01,050 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242561051, 'TBTC': 14709.106, 'BTC': 33608.565, 'RATIO_BTC': 0.44, 'BUNNY': 15.281, 'BNBTC': 0.186}
2021-07-03 00:17:15,062 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242635063, 'TBTC': 14709.106, 'BTC': 33616.402, 'RATIO_BTC': 0.44, 'BUNNY': 15.281, 'BNBTC': 0.186}
2021-07-03 00:18:31,438 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242711438, 'TBTC': 14599.37, 'BTC': 33616.402, 'RATIO_BTC': 0.43, 'BUNNY': 15.339, 'BNBTC': 0.188}
2021-07-03 00:19:48,921 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242788921, 'TBTC': 14599.37, 'BTC': 33616.402, 'RATIO_BTC': 0.43, 'BUNNY': 15.287, 'BNBTC': 0.185}
2021-07-03 00:21:01,486 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242861486, 'TBTC': 14603.361, 'BTC': 33614.932, 'RATIO_BTC': 0.43, 'BUNNY': 15.288, 'BNBTC': 0.185}
2021-07-03 00:22:18,101 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625242938102, 'TBTC': 14603.361, 'BTC': 33738.818, 'RATIO_BTC': 0.43, 'BUNNY': 15.282, 'BNBTC': 0.183}
2021-07-03 00:23:31,096 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243011096, 'TBTC': 14603.361, 'BTC': 33682.466, 'RATIO_BTC': 0.43, 'BUNNY': 15.303, 'BNBTC': 0.187}
2021-07-03 00:24:40,956 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243080956, 'TBTC': 14603.361, 'BTC': 33651.49, 'RATIO_BTC': 0.43, 'BUNNY': 15.29, 'BNBTC': 0.187}
2021-07-03 00:25:51,207 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243151207, 'TBTC': 14603.361, 'BTC': 33621.629, 'RATIO_BTC': 0.43, 'BUNNY': 15.29, 'BNBTC': 0.187}
2021-07-03 00:27:07,273 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243227274, 'TBTC': 14603.361, 'BTC': 33630.772, 'RATIO_BTC': 0.43, 'BUNNY': 15.287, 'BNBTC': 0.187}
2021-07-03 00:28:17,320 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243297321, 'TBTC': 14603.361, 'BTC': 33671.858, 'RATIO_BTC': 0.43, 'BUNNY': 15.289, 'BNBTC': 0.187}
2021-07-03 00:29:32,446 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243372446, 'TBTC': 14603.361, 'BTC': 33610.821, 'RATIO_BTC': 0.43, 'BUNNY': 15.286, 'BNBTC': 0.188}
2021-07-03 00:30:46,622 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243446623, 'TBTC': 14603.361, 'BTC': 33666.157, 'RATIO_BTC': 0.43, 'BUNNY': 15.286, 'BNBTC': 0.188}
2021-07-03 00:32:01,448 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243521449, 'TBTC': 14603.361, 'BTC': 33616.228, 'RATIO_BTC': 0.43, 'BUNNY': 15.289, 'BNBTC': 0.187}
2021-07-03 00:33:19,552 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243599552, 'TBTC': 14603.361, 'BTC': 33584.142, 'RATIO_BTC': 0.43, 'BUNNY': 15.292, 'BNBTC': 0.187}
2021-07-03 00:34:32,860 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243672860, 'TBTC': 14603.361, 'BTC': 33621.465, 'RATIO_BTC': 0.43, 'BUNNY': 15.264, 'BNBTC': 0.181}
2021-07-03 00:35:46,467 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243746468, 'TBTC': 14603.361, 'BTC': 33632.831, 'RATIO_BTC': 0.43, 'BUNNY': 15.271, 'BNBTC': 0.181}
2021-07-03 00:37:02,531 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243822532, 'TBTC': 14603.361, 'BTC': 33575.406, 'RATIO_BTC': 0.43, 'BUNNY': 15.274, 'BNBTC': 0.18}
2021-07-03 00:38:12,551 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243892551, 'TBTC': 14603.361, 'BTC': 33620.461, 'RATIO_BTC': 0.43, 'BUNNY': 15.269, 'BNBTC': 0.183}
2021-07-03 00:39:27,433 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625243967433, 'TBTC': 14603.361, 'BTC': 33626.5, 'RATIO_BTC': 0.43, 'BUNNY': 15.277, 'BNBTC': 0.184}
2021-07-03 00:40:36,676 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625244036676, 'TBTC': 14603.361, 'BTC': 33539.254, 'RATIO_BTC': 0.44, 'BUNNY': 15.218, 'BNBTC': 0.185}
2021-07-03 00:41:47,073 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625244107073, 'TBTC': 14603.361, 'BTC': 33589.381, 'RATIO_BTC': 0.43, 'BUNNY': 15.202, 'BNBTC': 0.181}
