2021-07-11 00:00:10,739 - pitman.py[line:49] - INFO: {'TIME': 1625932810740, 'TDOG': 0.08, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.203}
2021-07-11 00:01:22,938 - pitman.py[line:49] - INFO: {'TIME': 1625932882938, 'TDOG': 0.08, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.203}
2021-07-11 00:02:29,683 - pitman.py[line:49] - INFO: {'TIME': 1625932949683, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.203}
2021-07-11 00:03:35,016 - pitman.py[line:49] - INFO: {'TIME': 1625933015017, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.203}
2021-07-11 00:04:41,339 - pitman.py[line:49] - INFO: {'TIME': 1625933081340, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.203}
2021-07-11 00:05:52,583 - pitman.py[line:49] - INFO: {'TIME': 1625933152583, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.194}
2021-07-11 00:07:01,354 - pitman.py[line:49] - INFO: {'TIME': 1625933221355, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.227}
2021-07-11 00:08:10,037 - pitman.py[line:49] - INFO: {'TIME': 1625933290037, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.303}
2021-07-11 00:09:22,163 - pitman.py[line:49] - INFO: {'TIME': 1625933362164, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.303}
2021-07-11 00:10:36,129 - pitman.py[line:49] - INFO: {'TIME': 1625933436130, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:11:47,347 - pitman.py[line:49] - INFO: {'TIME': 1625933507347, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:12:56,722 - pitman.py[line:49] - INFO: {'TIME': 1625933576723, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:14:05,125 - pitman.py[line:49] - INFO: {'TIME': 1625933645125, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:15:13,008 - pitman.py[line:49] - INFO: {'TIME': 1625933713008, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:16:18,057 - pitman.py[line:49] - INFO: {'TIME': 1625933778057, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:17:38,537 - pitman.py[line:49] - INFO: {'TIME': 1625933858538, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:18:49,517 - pitman.py[line:49] - INFO: {'TIME': 1625933929517, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:19:54,259 - pitman.py[line:49] - INFO: {'TIME': 1625933994259, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:20:58,931 - pitman.py[line:49] - INFO: {'TIME': 1625934058931, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.294}
2021-07-11 00:22:02,726 - pitman.py[line:49] - INFO: {'TIME': 1625934122726, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.285}
2021-07-11 00:23:12,673 - pitman.py[line:49] - INFO: {'TIME': 1625934192673, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.285}
2021-07-11 00:24:19,428 - pitman.py[line:49] - INFO: {'TIME': 1625934259429, 'TDOG': 0.08, 'DOG': 0.216, 'RATIO_DOG': 0.37, 'BTCST': 18.313}
2021-07-11 00:25:30,720 - pitman.py[line:49] - INFO: {'TIME': 1625934330721, 'TDOG': 0.08, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.328}
2021-07-11 00:26:45,405 - pitman.py[line:49] - INFO: {'TIME': 1625934405406, 'TDOG': 0.08, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.328}
2021-07-11 00:27:53,363 - pitman.py[line:49] - INFO: {'TIME': 1625934473364, 'TDOG': 0.08, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.328}
2021-07-11 00:29:01,381 - pitman.py[line:49] - INFO: {'TIME': 1625934541381, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.385}
2021-07-11 00:30:09,427 - pitman.py[line:49] - INFO: {'TIME': 1625934609427, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.385}
2021-07-11 00:31:21,343 - pitman.py[line:49] - INFO: {'TIME': 1625934681344, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.397}
2021-07-11 00:32:31,585 - pitman.py[line:49] - INFO: {'TIME': 1625934751586, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.397}
2021-07-11 00:33:41,426 - pitman.py[line:49] - INFO: {'TIME': 1625934821427, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.42}
2021-07-11 00:34:50,219 - pitman.py[line:49] - INFO: {'TIME': 1625934890220, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.42}
2021-07-11 00:35:59,493 - pitman.py[line:49] - INFO: {'TIME': 1625934959493, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.42}
2021-07-11 00:37:14,076 - pitman.py[line:49] - INFO: {'TIME': 1625935034077, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:38:24,811 - pitman.py[line:49] - INFO: {'TIME': 1625935104811, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:39:39,023 - pitman.py[line:49] - INFO: {'TIME': 1625935179023, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:40:50,245 - pitman.py[line:49] - INFO: {'TIME': 1625935250245, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:41:55,686 - pitman.py[line:49] - INFO: {'TIME': 1625935315687, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:43:06,065 - pitman.py[line:49] - INFO: {'TIME': 1625935386065, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:44:17,247 - pitman.py[line:49] - INFO: {'TIME': 1625935457247, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:45:24,486 - pitman.py[line:49] - INFO: {'TIME': 1625935524487, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.371}
2021-07-11 00:46:39,333 - pitman.py[line:49] - INFO: {'TIME': 1625935599334, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:47:47,812 - pitman.py[line:49] - INFO: {'TIME': 1625935667813, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:48:54,072 - pitman.py[line:49] - INFO: {'TIME': 1625935734073, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:50:00,442 - pitman.py[line:49] - INFO: {'TIME': 1625935800442, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:51:09,190 - pitman.py[line:49] - INFO: {'TIME': 1625935869190, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:52:18,991 - pitman.py[line:49] - INFO: {'TIME': 1625935938992, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:53:27,483 - pitman.py[line:49] - INFO: {'TIME': 1625936007483, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:54:36,747 - pitman.py[line:49] - INFO: {'TIME': 1625936076748, 'TDOG': 0.081, 'DOG': 0.218, 'RATIO_DOG': 0.37, 'BTCST': 18.406}
2021-07-11 00:55:40,620 - pitman.py[line:49] - INFO: {'TIME': 1625936140621, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.399}
2021-07-11 00:56:46,697 - pitman.py[line:101] - INFO: 重启中...
2021-07-11 00:57:07,538 - pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-11 00:57:27,781 - pitman.py[line:49] - INFO: {'TIME': 1625936247781, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.399}
2021-07-11 00:58:41,322 - pitman.py[line:49] - INFO: {'TIME': 1625936321323, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.399}
2021-07-11 00:59:49,779 - pitman.py[line:49] - INFO: {'TIME': 1625936389780, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.382}
2021-07-11 01:00:55,277 - pitman.py[line:49] - INFO: {'TIME': 1625936455277, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.382}
2021-07-11 01:02:02,499 - pitman.py[line:49] - INFO: {'TIME': 1625936522500, 'TDOG': 0.081, 'DOG': 0.216, 'RATIO_DOG': 0.38, 'BTCST': 18.382}
2021-07-11 01:03:09,797 - pitman.py[line:49] - INFO: {'TIME': 1625936589797, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.382}
2021-07-11 01:04:18,765 - pitman.py[line:49] - INFO: {'TIME': 1625936658765, 'TDOG': 0.081, 'DOG': 0.217, 'RATIO_DOG': 0.37, 'BTCST': 18.382}
