2021-07-07 21:14:19,134 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-07 21:14:45,859 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625663685860, 'TBTC': 13790.918, 'BTC': 34871.008, 'RATIO_BTC': 0.4, 'BUNNY': 19.743, 'BNBTC': 0.204}
2021-07-07 21:16:05,058 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625663765059, 'TBTC': 13790.918, 'BTC': 34786.772, 'RATIO_BTC': 0.4, 'BUNNY': 19.793, 'BNBTC': 0.204}
2021-07-07 21:17:20,838 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625663840838, 'TBTC': 13790.918, 'BTC': 34814.691, 'RATIO_BTC': 0.4, 'BUNNY': 19.761, 'BNBTC': 0.204}
2021-07-07 21:18:30,798 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625663910799, 'TBTC': 13790.918, 'BTC': 34863.948, 'RATIO_BTC': 0.4, 'BUNNY': 19.763, 'BNBTC': 0.203}
2021-07-07 21:19:42,362 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625663982363, 'TBTC': 13790.918, 'BTC': 34859.327, 'RATIO_BTC': 0.4, 'BUNNY': 19.757, 'BNBTC': 0.203}
2021-07-07 21:20:59,378 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664059378, 'TBTC': 13790.918, 'BTC': 34852.641, 'RATIO_BTC': 0.4, 'BUNNY': 19.76, 'BNBTC': 0.217}
2021-07-07 21:22:14,969 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664134970, 'TBTC': 13790.918, 'BTC': 34806.957, 'RATIO_BTC': 0.4, 'BUNNY': 19.759, 'BNBTC': 0.216}
2021-07-07 21:23:27,183 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664207184, 'TBTC': 13790.918, 'BTC': 34798.855, 'RATIO_BTC': 0.4, 'BUNNY': 19.779, 'BNBTC': 0.203}
2021-07-07 21:24:39,854 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664279855, 'TBTC': 13790.918, 'BTC': 34791.797, 'RATIO_BTC': 0.4, 'BUNNY': 19.784, 'BNBTC': 0.204}
2021-07-07 21:26:13,852 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-07 21:26:44,004 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664404004, 'TBTC': 13790.918, 'BTC': 34838.448, 'RATIO_BTC': 0.4, 'BUNNY': 19.761, 'BNBTC': 0.196}
2021-07-07 21:27:59,456 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664479456, 'TBTC': 13790.918, 'BTC': 34702.168, 'RATIO_BTC': 0.4, 'BUNNY': 19.768, 'BNBTC': 0.2}
2021-07-07 21:29:11,030 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664551031, 'TBTC': 13790.918, 'BTC': 34833.729, 'RATIO_BTC': 0.4, 'BUNNY': 19.767, 'BNBTC': 0.208}
2021-07-07 21:30:23,452 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664623452, 'TBTC': 13790.918, 'BTC': 34769.274, 'RATIO_BTC': 0.4, 'BUNNY': 19.762, 'BNBTC': 0.208}
2021-07-07 21:31:35,176 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664695176, 'TBTC': 13790.918, 'BTC': 34759.296, 'RATIO_BTC': 0.4, 'BUNNY': 19.761, 'BNBTC': 0.208}
2021-07-07 21:32:57,216 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664777216, 'TBTC': 13790.918, 'BTC': 34759.055, 'RATIO_BTC': 0.4, 'BUNNY': 19.761, 'BNBTC': 0.205}
2021-07-07 21:34:09,289 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664849290, 'TBTC': 13790.918, 'BTC': 34818.745, 'RATIO_BTC': 0.4, 'BUNNY': 19.762, 'BNBTC': 0.205}
2021-07-07 21:35:20,783 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664920784, 'TBTC': 13790.918, 'BTC': 34747.473, 'RATIO_BTC': 0.4, 'BUNNY': 19.772, 'BNBTC': 0.207}
2021-07-07 21:36:36,398 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625664996398, 'TBTC': 13790.918, 'BTC': 34796.909, 'RATIO_BTC': 0.4, 'BUNNY': 19.807, 'BNBTC': 0.205}
2021-07-07 21:37:48,558 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665068558, 'TBTC': 13790.918, 'BTC': 34789.061, 'RATIO_BTC': 0.4, 'BUNNY': 19.809, 'BNBTC': 0.202}
2021-07-07 21:39:06,892 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665146893, 'TBTC': 13790.918, 'BTC': 34787.36, 'RATIO_BTC': 0.4, 'BUNNY': 19.813, 'BNBTC': 0.202}
2021-07-07 21:40:27,052 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665227052, 'TBTC': 13790.918, 'BTC': 34819.604, 'RATIO_BTC': 0.4, 'BUNNY': 19.814, 'BNBTC': 0.2}
2021-07-07 21:41:38,268 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665298269, 'TBTC': 13790.918, 'BTC': 34759.469, 'RATIO_BTC': 0.4, 'BUNNY': 19.802, 'BNBTC': 0.212}
2021-07-07 21:43:16,076 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-07 21:43:37,769 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665417769, 'TBTC': 13790.918, 'BTC': 34747.893, 'RATIO_BTC': 0.4, 'BUNNY': 19.802, 'BNBTC': 0.212}
2021-07-07 21:44:50,395 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665490396, 'TBTC': 13790.918, 'BTC': 34747.913, 'RATIO_BTC': 0.4, 'BUNNY': 19.747, 'BNBTC': 0.212}
2021-07-07 21:46:09,304 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665569305, 'TBTC': 13790.918, 'BTC': 34857.117, 'RATIO_BTC': 0.4, 'BUNNY': 19.75, 'BNBTC': 0.212}
2021-07-07 21:47:22,590 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665642591, 'TBTC': 13790.918, 'BTC': 34751.579, 'RATIO_BTC': 0.4, 'BUNNY': 19.739, 'BNBTC': 0.212}
2021-07-07 21:48:40,598 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665720598, 'TBTC': 13790.918, 'BTC': 34786.941, 'RATIO_BTC': 0.4, 'BUNNY': 19.816, 'BNBTC': 0.205}
2021-07-07 21:49:54,362 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625665794362, 'TBTC': 13790.918, 'BTC': 34773.957, 'RATIO_BTC': 0.4, 'BUNNY': 19.781, 'BNBTC': 0.207}
