2021-07-04 18:36:07,089 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625394967090, 'TBTC': 14607.378, 'BTC': 35464.769, 'RATIO_BTC': 0.41, 'BUNNY': 17.781, 'BNBTC': 0.223}
2021-07-04 18:37:20,747 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395040747, 'TBTC': 14607.378, 'BTC': 35497.082, 'RATIO_BTC': 0.41, 'BUNNY': 17.787, 'BNBTC': 0.223}
2021-07-04 18:38:30,794 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395110794, 'TBTC': 14607.378, 'BTC': 35497.082, 'RATIO_BTC': 0.41, 'BUNNY': 17.793, 'BNBTC': 0.223}
2021-07-04 18:39:41,485 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395181485, 'TBTC': 14607.378, 'BTC': 35565.935, 'RATIO_BTC': 0.41, 'BUNNY': 17.827, 'BNBTC': 0.223}
2021-07-04 18:40:47,625 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395247626, 'TBTC': 14607.378, 'BTC': 35529.452, 'RATIO_BTC': 0.41, 'BUNNY': 17.813, 'BNBTC': 0.224}
2021-07-04 18:42:02,302 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395322302, 'TBTC': 14607.378, 'BTC': 35567.504, 'RATIO_BTC': 0.41, 'BUNNY': 17.789, 'BNBTC': 0.226}
2021-07-04 18:43:18,129 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395398129, 'TBTC': 14607.378, 'BTC': 35513.434, 'RATIO_BTC': 0.41, 'BUNNY': 17.788, 'BNBTC': 0.222}
2021-07-04 18:44:26,024 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395466024, 'TBTC': 14607.378, 'BTC': 35518.832, 'RATIO_BTC': 0.41, 'BUNNY': 17.793, 'BNBTC': 0.222}
2021-07-04 18:45:43,950 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395543951, 'TBTC': 14607.378, 'BTC': 35508.59, 'RATIO_BTC': 0.41, 'BUNNY': 17.797, 'BNBTC': 0.222}
2021-07-04 18:46:59,637 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395619638, 'TBTC': 14607.378, 'BTC': 35514.895, 'RATIO_BTC': 0.41, 'BUNNY': 17.797, 'BNBTC': 0.222}
2021-07-04 18:48:08,807 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395688808, 'TBTC': 14607.378, 'BTC': 35556.473, 'RATIO_BTC': 0.41, 'BUNNY': 17.8, 'BNBTC': 0.222}
2021-07-04 18:49:20,302 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395760303, 'TBTC': 14607.378, 'BTC': 35508.589, 'RATIO_BTC': 0.41, 'BUNNY': 17.809, 'BNBTC': 0.22}
2021-07-04 18:50:31,211 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395831212, 'TBTC': 14607.378, 'BTC': 35546.641, 'RATIO_BTC': 0.41, 'BUNNY': 17.809, 'BNBTC': 0.22}
2021-07-04 18:51:43,921 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395903922, 'TBTC': 14607.378, 'BTC': 35490.57, 'RATIO_BTC': 0.41, 'BUNNY': 17.819, 'BNBTC': 0.22}
2021-07-04 18:53:01,928 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625395981929, 'TBTC': 14607.378, 'BTC': 35554.945, 'RATIO_BTC': 0.41, 'BUNNY': 17.833, 'BNBTC': 0.225}
2021-07-04 18:54:16,000 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625396056000, 'TBTC': 14607.378, 'BTC': 35490.288, 'RATIO_BTC': 0.41, 'BUNNY': 17.836, 'BNBTC': 0.225}
2021-07-04 18:55:28,210 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625396128211, 'TBTC': 14607.378, 'BTC': 35458.922, 'RATIO_BTC': 0.41, 'BUNNY': 17.838, 'BNBTC': 0.225}
2021-07-04 18:56:41,916 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625396201917, 'TBTC': 14607.378, 'BTC': 35517.227, 'RATIO_BTC': 0.41, 'BUNNY': 17.833, 'BNBTC': 0.225}
2021-07-04 18:57:55,518 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625396275519, 'TBTC': 14607.378, 'BTC': 35494.723, 'RATIO_BTC': 0.41, 'BUNNY': 17.834, 'BNBTC': 0.225}
2021-07-04 18:59:04,964 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625396344965, 'TBTC': 14607.378, 'BTC': 35551.414, 'RATIO_BTC': 0.41, 'BUNNY': 17.834, 'BNBTC': 0.225}
