2021-07-08 00:30:01,887 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675401887, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.845}
2021-07-08 00:31:10,733 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675470734, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.845}
2021-07-08 00:32:18,376 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675538376, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.845}
2021-07-08 00:33:25,922 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675605922, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.845}
2021-07-08 00:34:35,966 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675675966, 'TDOG': 0.088, 'DOG': 0.23, 'RATIO_DOG': 0.38, 'BTCST': 19.845}
2021-07-08 00:35:44,917 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675744918, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.721}
2021-07-08 00:36:50,461 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675810462, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.721}
2021-07-08 00:37:54,671 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675874672, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:39:01,006 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625675941007, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:40:17,522 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676017522, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:41:22,089 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676082090, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:42:27,033 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676147033, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:43:35,471 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676215471, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:44:42,656 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676282656, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:45:47,328 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676347328, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:46:52,031 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676412031, 'TDOG': 0.088, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 19.776}
2021-07-08 00:47:56,919 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676476920, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.83}
2021-07-08 00:49:00,179 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676540179, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.83}
2021-07-08 00:50:09,041 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676609041, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.83}
2021-07-08 00:51:17,371 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676677372, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.83}
2021-07-08 00:52:25,736 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676745736, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.83}
2021-07-08 00:53:33,119 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676813119, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.82}
2021-07-08 00:54:34,787 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676874787, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.803}
2021-07-08 00:55:41,651 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625676941651, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.813}
2021-07-08 00:56:48,402 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677008402, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.813}
2021-07-08 00:57:56,906 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677076906, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.813}
2021-07-08 00:59:02,938 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677142938, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.809}
2021-07-08 01:00:09,373 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677209373, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.809}
2021-07-08 01:01:22,840 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677282840, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.809}
2021-07-08 01:02:28,434 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677348435, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.837}
2021-07-08 01:03:32,755 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677412755, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.837}
2021-07-08 01:04:37,022 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677477022, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.837}
2021-07-08 01:05:44,672 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677544672, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.767}
2021-07-08 01:06:50,548 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677610548, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.767}
2021-07-08 01:07:54,503 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677674503, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.767}
2021-07-08 01:09:04,482 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677744482, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:10:11,031 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677811031, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
2021-07-08 01:11:16,267 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625677876268, 'TDOG': 0.088, 'DOG': 0.231, 'RATIO_DOG': 0.38, 'BTCST': 19.805}
