2021-06-19 17:12:38,230 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.543}
2021-06-19 17:13:47,599 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.543}
2021-06-19 17:14:51,321 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:15:59,485 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:17:07,518 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:18:13,441 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:19:20,141 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:20:22,721 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.293, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:21:30,203 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.294, 'RATIO_DOG': 0.69, 'BTCST': 25.565}
2021-06-19 17:22:39,615 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:23:48,136 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:24:58,389 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.204, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.565}
2021-06-19 17:26:04,390 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.203, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.48}
2021-06-19 17:27:13,949 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.203, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.48}
2021-06-19 17:28:19,177 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.203, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.48}
2021-06-19 17:29:28,864 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.203, 'DOG': 0.292, 'RATIO_DOG': 0.7, 'BTCST': 25.48}
