2021-07-01 21:16:36,635 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145396636, 'TBTC': 16368.289, 'BTC': 33689.392, 'RATIO_BTC': 0.49, 'BUNNY': 15.344, 'BNBTC': 0.183}
2021-07-01 21:17:50,125 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145470126, 'TBTC': 16368.289, 'BTC': 33822.98, 'RATIO_BTC': 0.48, 'BUNNY': 15.343, 'BNBTC': 0.171}
2021-07-01 21:18:59,198 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145539199, 'TBTC': 16368.289, 'BTC': 33814.128, 'RATIO_BTC': 0.48, 'BUNNY': 15.34, 'BNBTC': 0.175}
2021-07-01 21:20:08,902 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145608902, 'TBTC': 16368.289, 'BTC': 33725.266, 'RATIO_BTC': 0.49, 'BUNNY': 15.304, 'BNBTC': 0.176}
2021-07-01 21:21:31,716 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145691717, 'TBTC': 16358.61, 'BTC': 33854.622, 'RATIO_BTC': 0.48, 'BUNNY': 15.365, 'BNBTC': 0.179}
2021-07-01 21:22:39,110 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145759110, 'TBTC': 15524.116, 'BTC': 33820.402, 'RATIO_BTC': 0.46, 'BUNNY': 15.35, 'BNBTC': 0.18}
2021-07-01 21:24:06,449 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 21:24:28,148 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145868148, 'TBTC': 15521.518, 'BTC': 33814.39, 'RATIO_BTC': 0.46, 'BUNNY': 15.297, 'BNBTC': 0.181}
2021-07-01 21:25:44,463 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625145944463, 'TBTC': 15521.518, 'BTC': 33677.398, 'RATIO_BTC': 0.46, 'BUNNY': 15.298, 'BNBTC': 0.179}
2021-07-01 21:27:03,307 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146023308, 'TBTC': 15521.518, 'BTC': 33752.305, 'RATIO_BTC': 0.46, 'BUNNY': 15.261, 'BNBTC': 0.178}
2021-07-01 21:28:15,242 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146095243, 'TBTC': 15521.518, 'BTC': 33744.3, 'RATIO_BTC': 0.46, 'BUNNY': 15.264, 'BNBTC': 0.178}
2021-07-01 21:29:23,063 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146163064, 'TBTC': 15521.518, 'BTC': 33760.796, 'RATIO_BTC': 0.46, 'BUNNY': 15.27, 'BNBTC': 0.176}
2021-07-01 21:30:31,703 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146231703, 'TBTC': 15521.518, 'BTC': 33793.516, 'RATIO_BTC': 0.46, 'BUNNY': 15.346, 'BNBTC': 0.179}
2021-07-01 21:31:45,430 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146305430, 'TBTC': 15510.191, 'BTC': 33677.444, 'RATIO_BTC': 0.46, 'BUNNY': 15.282, 'BNBTC': 0.181}
2021-07-01 21:32:57,842 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146377842, 'TBTC': 15510.191, 'BTC': 33838.284, 'RATIO_BTC': 0.46, 'BUNNY': 15.281, 'BNBTC': 0.189}
2021-07-01 21:34:11,450 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146451451, 'TBTC': 15510.191, 'BTC': 33818.556, 'RATIO_BTC': 0.46, 'BUNNY': 15.34, 'BNBTC': 0.187}
2021-07-01 21:35:27,367 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146527368, 'TBTC': 15510.191, 'BTC': 33818.11, 'RATIO_BTC': 0.46, 'BUNNY': 15.291, 'BNBTC': 0.182}
2021-07-01 21:36:38,657 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146598657, 'TBTC': 15510.191, 'BTC': 33786.815, 'RATIO_BTC': 0.46, 'BUNNY': 15.296, 'BNBTC': 0.186}
2021-07-01 21:37:50,470 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146670471, 'TBTC': 15510.191, 'BTC': 33749.953, 'RATIO_BTC': 0.46, 'BUNNY': 15.31, 'BNBTC': 0.187}
2021-07-01 21:39:01,421 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146741422, 'TBTC': 15510.191, 'BTC': 33707.129, 'RATIO_BTC': 0.46, 'BUNNY': 15.289, 'BNBTC': 0.184}
2021-07-01 21:40:12,932 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146812933, 'TBTC': 15510.191, 'BTC': 33696.125, 'RATIO_BTC': 0.46, 'BUNNY': 15.319, 'BNBTC': 0.186}
2021-07-01 21:41:21,167 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146881167, 'TBTC': 15510.191, 'BTC': 33657.817, 'RATIO_BTC': 0.46, 'BUNNY': 15.333, 'BNBTC': 0.188}
2021-07-01 21:42:37,906 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625146957906, 'TBTC': 15510.191, 'BTC': 33687.855, 'RATIO_BTC': 0.46, 'BUNNY': 15.331, 'BNBTC': 0.184}
2021-07-01 21:43:45,295 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147025296, 'TBTC': 15510.191, 'BTC': 33655.75, 'RATIO_BTC': 0.46, 'BUNNY': 15.329, 'BNBTC': 0.184}
2021-07-01 21:45:02,245 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147102245, 'TBTC': 15510.191, 'BTC': 33734.991, 'RATIO_BTC': 0.46, 'BUNNY': 15.337, 'BNBTC': 0.183}
2021-07-01 21:46:13,242 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147173242, 'TBTC': 15510.191, 'BTC': 34054.585, 'RATIO_BTC': 0.46, 'BUNNY': 15.335, 'BNBTC': 0.179}
2021-07-01 21:48:42,053 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 21:48:56,081 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147336081, 'TBTC': 15510.191, 'BTC': 33673.121, 'RATIO_BTC': 0.46, 'BUNNY': 15.349, 'BNBTC': 0.177}
2021-07-01 21:50:08,938 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147408939, 'TBTC': 15510.191, 'BTC': 33635.606, 'RATIO_BTC': 0.46, 'BUNNY': 15.35, 'BNBTC': 0.177}
2021-07-01 21:51:18,900 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147478900, 'TBTC': 15510.191, 'BTC': 33622.215, 'RATIO_BTC': 0.46, 'BUNNY': 15.331, 'BNBTC': 0.176}
2021-07-01 21:52:30,140 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147550140, 'TBTC': 15510.191, 'BTC': 33687.336, 'RATIO_BTC': 0.46, 'BUNNY': 15.339, 'BNBTC': 0.176}
2021-07-01 21:53:45,511 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147625511, 'TBTC': 15510.191, 'BTC': 33734.924, 'RATIO_BTC': 0.46, 'BUNNY': 15.339, 'BNBTC': 0.176}
2021-07-01 21:54:57,279 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147697279, 'TBTC': 15510.191, 'BTC': 33698.43, 'RATIO_BTC': 0.46, 'BUNNY': 15.332, 'BNBTC': 0.177}
2021-07-01 21:56:09,680 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147769680, 'TBTC': 15510.191, 'BTC': 33705.586, 'RATIO_BTC': 0.46, 'BUNNY': 15.338, 'BNBTC': 0.177}
2021-07-01 21:57:24,705 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147844706, 'TBTC': 15510.191, 'BTC': 33668.732, 'RATIO_BTC': 0.46, 'BUNNY': 15.341, 'BNBTC': 0.175}
2021-07-01 21:58:39,677 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625147919678, 'TBTC': 15510.191, 'BTC': 33571.609, 'RATIO_BTC': 0.46, 'BUNNY': 15.341, 'BNBTC': 0.174}
2021-07-01 22:00:12,599 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-01 22:00:32,063 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148032064, 'TBTC': 15510.191, 'BTC': 33578.458, 'RATIO_BTC': 0.46, 'BUNNY': 15.3, 'BNBTC': 0.17}
2021-07-01 22:01:43,929 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148103929, 'TBTC': 15510.191, 'BTC': 33524.546, 'RATIO_BTC': 0.46, 'BUNNY': 15.295, 'BNBTC': 0.173}
2021-07-01 22:02:57,442 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148177442, 'TBTC': 15510.191, 'BTC': 33615.395, 'RATIO_BTC': 0.46, 'BUNNY': 15.322, 'BNBTC': 0.174}
2021-07-01 22:04:12,457 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148252457, 'TBTC': 15510.191, 'BTC': 33592.195, 'RATIO_BTC': 0.46, 'BUNNY': 15.32, 'BNBTC': 0.177}
2021-07-01 22:05:21,071 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148321072, 'TBTC': 15510.191, 'BTC': 33570.241, 'RATIO_BTC': 0.46, 'BUNNY': 15.317, 'BNBTC': 0.183}
2021-07-01 22:06:32,836 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148392837, 'TBTC': 15510.191, 'BTC': 33580.984, 'RATIO_BTC': 0.46, 'BUNNY': 15.265, 'BNBTC': 0.18}
2021-07-01 22:07:47,482 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148467483, 'TBTC': 15510.191, 'BTC': 33498.736, 'RATIO_BTC': 0.46, 'BUNNY': 15.265, 'BNBTC': 0.177}
2021-07-01 22:09:05,252 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148545253, 'TBTC': 15510.191, 'BTC': 33668.941, 'RATIO_BTC': 0.46, 'BUNNY': 15.256, 'BNBTC': 0.177}
2021-07-01 22:10:22,180 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148622181, 'TBTC': 15510.191, 'BTC': 33666.285, 'RATIO_BTC': 0.46, 'BUNNY': 15.301, 'BNBTC': 0.169}
2021-07-01 22:11:40,385 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148700385, 'TBTC': 15449.417, 'BTC': 33672.617, 'RATIO_BTC': 0.46, 'BUNNY': 15.27, 'BNBTC': 0.171}
2021-07-01 22:12:58,466 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148778466, 'TBTC': 15449.417, 'BTC': 33619.818, 'RATIO_BTC': 0.46, 'BUNNY': 15.279, 'BNBTC': 0.177}
2021-07-01 22:14:11,820 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148851820, 'TBTC': 15449.417, 'BTC': 33543.121, 'RATIO_BTC': 0.46, 'BUNNY': 15.282, 'BNBTC': 0.179}
2021-07-01 22:15:29,609 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625148929610, 'TBTC': 15449.417, 'BTC': 33601.75, 'RATIO_BTC': 0.46, 'BUNNY': 15.205, 'BNBTC': 0.179}
2021-07-01 22:16:40,642 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625149000642, 'TBTC': 15449.417, 'BTC': 33588.387, 'RATIO_BTC': 0.46, 'BUNNY': 15.203, 'BNBTC': 0.181}
