2021-06-27 01:03:57,229 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:81] - INFO:  🚥 Luck...
2021-06-27 01:35:14,074 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624728914074, 'TBTC': 16127.43, 'BTC': 31248.697, 'RATIO_BTC': 0.52, 'BUNNY': 13.169}
2021-06-27 01:36:27,848 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624728987848, 'TBTC': 16127.43, 'BTC': 31210.062, 'RATIO_BTC': 0.52, 'BUNNY': 13.17}
2021-06-27 01:37:42,774 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729062774, 'TBTC': 16127.43, 'BTC': 31163.928, 'RATIO_BTC': 0.52, 'BUNNY': 13.162}
2021-06-27 01:38:51,798 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729131798, 'TBTC': 16129.786, 'BTC': 31189.447, 'RATIO_BTC': 0.52, 'BUNNY': 13.162}
2021-06-27 01:40:06,946 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729206946, 'TBTC': 16129.774, 'BTC': 31233.882, 'RATIO_BTC': 0.52, 'BUNNY': 13.163}
2021-06-27 01:41:18,537 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729278538, 'TBTC': 16132.089, 'BTC': 31180.047, 'RATIO_BTC': 0.52, 'BUNNY': 13.165}
2021-06-27 01:42:28,026 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729348027, 'TBTC': 16132.089, 'BTC': 31177.638, 'RATIO_BTC': 0.52, 'BUNNY': 13.144}
2021-06-27 01:43:45,760 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729425760, 'TBTC': 16132.089, 'BTC': 31252.178, 'RATIO_BTC': 0.52, 'BUNNY': 13.194}
2021-06-27 01:45:01,736 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729501736, 'TBTC': 16132.089, 'BTC': 31270.645, 'RATIO_BTC': 0.52, 'BUNNY': 13.198}
2021-06-27 01:46:14,078 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729574078, 'TBTC': 16132.089, 'BTC': 31256.937, 'RATIO_BTC': 0.52, 'BUNNY': 13.201}
2021-06-27 01:47:30,784 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729650785, 'TBTC': 16132.089, 'BTC': 31297.6, 'RATIO_BTC': 0.52, 'BUNNY': 13.229}
2021-06-27 01:48:45,357 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729725357, 'TBTC': 16132.089, 'BTC': 31337.943, 'RATIO_BTC': 0.51, 'BUNNY': 13.233}
2021-06-27 01:49:59,720 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729799720, 'TBTC': 16132.089, 'BTC': 31323.005, 'RATIO_BTC': 0.52, 'BUNNY': 13.241}
2021-06-27 01:51:11,232 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729871233, 'TBTC': 16132.089, 'BTC': 31380.861, 'RATIO_BTC': 0.51, 'BUNNY': 13.248}
2021-06-27 01:52:22,019 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624729942020, 'TBTC': 16132.089, 'BTC': 31444.306, 'RATIO_BTC': 0.51, 'BUNNY': 13.3}
2021-06-27 01:53:34,313 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730014313, 'TBTC': 16132.089, 'BTC': 31475.032, 'RATIO_BTC': 0.51, 'BUNNY': 13.315}
2021-06-27 01:54:51,340 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730091341, 'TBTC': 16132.089, 'BTC': 31477.765, 'RATIO_BTC': 0.51, 'BUNNY': 13.307}
2021-06-27 01:56:08,698 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730168698, 'TBTC': 16132.089, 'BTC': 31449.395, 'RATIO_BTC': 0.51, 'BUNNY': 13.35}
2021-06-27 01:57:23,631 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730243631, 'TBTC': 16132.089, 'BTC': 31491.035, 'RATIO_BTC': 0.51, 'BUNNY': 13.35}
2021-06-27 01:58:39,635 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730319635, 'TBTC': 16132.089, 'BTC': 31665.011, 'RATIO_BTC': 0.51, 'BUNNY': 13.38}
2021-06-27 01:59:54,463 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730394464, 'TBTC': 16132.089, 'BTC': 31572.389, 'RATIO_BTC': 0.51, 'BUNNY': 13.391}
2021-06-27 02:01:02,992 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730462993, 'TBTC': 16397.953, 'BTC': 31723.516, 'RATIO_BTC': 0.52, 'BUNNY': 13.42}
2021-06-27 02:02:15,491 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730535492, 'TBTC': 16397.953, 'BTC': 31706.189, 'RATIO_BTC': 0.52, 'BUNNY': 13.435}
2021-06-27 02:03:31,888 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730611888, 'TBTC': 16397.953, 'BTC': 31688.299, 'RATIO_BTC': 0.52, 'BUNNY': 13.426}
2021-06-27 02:04:45,607 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730685608, 'TBTC': 16432.007, 'BTC': 31688.34, 'RATIO_BTC': 0.52, 'BUNNY': 13.427}
2021-06-27 02:05:56,997 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730756997, 'TBTC': 16432.007, 'BTC': 31712.525, 'RATIO_BTC': 0.52, 'BUNNY': 13.429}
2021-06-27 02:07:06,878 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730826878, 'TBTC': 16423.258, 'BTC': 31710.252, 'RATIO_BTC': 0.52, 'BUNNY': 13.417}
2021-06-27 02:08:18,507 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730898507, 'TBTC': 16423.258, 'BTC': 31666.01, 'RATIO_BTC': 0.52, 'BUNNY': 13.414}
2021-06-27 02:09:34,130 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624730974130, 'TBTC': 16423.258, 'BTC': 31632.652, 'RATIO_BTC': 0.52, 'BUNNY': 13.414}
2021-06-27 02:10:38,924 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731038925, 'TBTC': 16423.258, 'BTC': 31632.958, 'RATIO_BTC': 0.52, 'BUNNY': 13.407}
2021-06-27 02:11:51,932 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731111932, 'TBTC': 16423.258, 'BTC': 31665.166, 'RATIO_BTC': 0.52, 'BUNNY': 13.404}
2021-06-27 02:13:02,121 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731182122, 'TBTC': 16423.258, 'BTC': 31679.626, 'RATIO_BTC': 0.52, 'BUNNY': 13.411}
2021-06-27 02:14:15,238 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731255238, 'TBTC': 16423.258, 'BTC': 31750.198, 'RATIO_BTC': 0.52, 'BUNNY': 13.443}
2021-06-27 02:15:27,286 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731327287, 'TBTC': 16423.258, 'BTC': 31832.886, 'RATIO_BTC': 0.52, 'BUNNY': 13.47}
2021-06-27 02:16:44,158 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731404159, 'TBTC': 16423.258, 'BTC': 31812.415, 'RATIO_BTC': 0.52, 'BUNNY': 13.47}
2021-06-27 02:17:59,469 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731479470, 'TBTC': 16423.258, 'BTC': 31804.023, 'RATIO_BTC': 0.52, 'BUNNY': 13.456}
2021-06-27 02:19:21,307 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731561308, 'TBTC': 16423.258, 'BTC': 31795.06, 'RATIO_BTC': 0.52, 'BUNNY': 13.443}
2021-06-27 02:20:33,813 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731633813, 'TBTC': 16423.258, 'BTC': 31772.318, 'RATIO_BTC': 0.52, 'BUNNY': 13.446}
2021-06-27 02:21:49,324 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731709324, 'TBTC': 16423.258, 'BTC': 31764.107, 'RATIO_BTC': 0.52, 'BUNNY': 13.438}
2021-06-27 02:23:01,731 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731781732, 'TBTC': 16423.258, 'BTC': 31748.848, 'RATIO_BTC': 0.52, 'BUNNY': 13.434}
2021-06-27 02:24:18,404 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731858404, 'TBTC': 16423.258, 'BTC': 31777.743, 'RATIO_BTC': 0.52, 'BUNNY': 13.429}
2021-06-27 02:25:26,424 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624731926424, 'TBTC': 16423.258, 'BTC': 31707.303, 'RATIO_BTC': 0.52, 'BUNNY': 13.43}
2021-06-27 02:26:42,013 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732002014, 'TBTC': 16423.258, 'BTC': 31772.352, 'RATIO_BTC': 0.52, 'BUNNY': 13.418}
2021-06-27 02:27:53,953 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732073954, 'TBTC': 16423.258, 'BTC': 31769.746, 'RATIO_BTC': 0.52, 'BUNNY': 13.404}
2021-06-27 02:29:09,982 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732149983, 'TBTC': 16423.258, 'BTC': 31712.607, 'RATIO_BTC': 0.52, 'BUNNY': 13.387}
2021-06-27 02:30:24,563 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732224564, 'TBTC': 16423.258, 'BTC': 31794.506, 'RATIO_BTC': 0.52, 'BUNNY': 13.26}
2021-06-27 02:31:34,963 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732294964, 'TBTC': 16423.258, 'BTC': 31683.873, 'RATIO_BTC': 0.52, 'BUNNY': 13.26}
2021-06-27 02:32:51,150 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732371151, 'TBTC': 16423.258, 'BTC': 31658.945, 'RATIO_BTC': 0.52, 'BUNNY': 13.262}
2021-06-27 02:34:08,812 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732448812, 'TBTC': 16423.258, 'BTC': 31610.508, 'RATIO_BTC': 0.52, 'BUNNY': 13.254}
2021-06-27 02:35:18,820 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:37] - INFO: {'TIME': 1624732518820, 'TBTC': 16423.258, 'BTC': 31651.404, 'RATIO_BTC': 0.52, 'BUNNY': 13.259}
