2021-07-02 20:03:32,127 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-02 20:03:57,918 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227437918, 'TBTC': 14578.706, 'BTC': 32828.535, 'RATIO_BTC': 0.44, 'BUNNY': 14.866, 'BNBTC': 0.181}
2021-07-02 20:05:17,328 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227517329, 'TBTC': 14578.706, 'BTC': 32933.389, 'RATIO_BTC': 0.44, 'BUNNY': 14.877, 'BNBTC': 0.181}
2021-07-02 20:06:31,492 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227591493, 'TBTC': 14578.706, 'BTC': 32991.787, 'RATIO_BTC': 0.44, 'BUNNY': 14.848, 'BNBTC': 0.184}
2021-07-02 20:07:48,205 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227668206, 'TBTC': 14578.706, 'BTC': 33014.233, 'RATIO_BTC': 0.44, 'BUNNY': 14.856, 'BNBTC': 0.184}
2021-07-02 20:09:12,818 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227752818, 'TBTC': 14578.706, 'BTC': 33045.367, 'RATIO_BTC': 0.44, 'BUNNY': 14.859, 'BNBTC': 0.184}
2021-07-02 20:10:26,661 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227826661, 'TBTC': 14578.706, 'BTC': 33004.606, 'RATIO_BTC': 0.44, 'BUNNY': 14.858, 'BNBTC': 0.184}
2021-07-02 20:11:42,337 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227902337, 'TBTC': 14578.706, 'BTC': 33004.605, 'RATIO_BTC': 0.44, 'BUNNY': 14.862, 'BNBTC': 0.182}
2021-07-02 20:12:53,449 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625227973450, 'TBTC': 14578.706, 'BTC': 33057.515, 'RATIO_BTC': 0.44, 'BUNNY': 14.866, 'BNBTC': 0.186}
2021-07-02 20:14:02,902 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228042902, 'TBTC': 14578.706, 'BTC': 33122.145, 'RATIO_BTC': 0.44, 'BUNNY': 14.869, 'BNBTC': 0.184}
2021-07-02 20:15:15,483 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228115483, 'TBTC': 14578.706, 'BTC': 32980.723, 'RATIO_BTC': 0.44, 'BUNNY': 14.875, 'BNBTC': 0.183}
2021-07-02 20:16:29,802 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228189802, 'TBTC': 14578.706, 'BTC': 33035.457, 'RATIO_BTC': 0.44, 'BUNNY': 14.866, 'BNBTC': 0.183}
2021-07-02 20:17:41,496 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228261496, 'TBTC': 14578.706, 'BTC': 33078.004, 'RATIO_BTC': 0.44, 'BUNNY': 14.858, 'BNBTC': 0.184}
2021-07-02 20:18:56,607 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228336607, 'TBTC': 14578.706, 'BTC': 33111.105, 'RATIO_BTC': 0.44, 'BUNNY': 14.871, 'BNBTC': 0.182}
2021-07-02 20:20:13,699 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228413699, 'TBTC': 14578.706, 'BTC': 33061.71, 'RATIO_BTC': 0.44, 'BUNNY': 14.879, 'BNBTC': 0.182}
2021-07-02 20:21:25,632 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228485632, 'TBTC': 14578.706, 'BTC': 33027.246, 'RATIO_BTC': 0.44, 'BUNNY': 14.886, 'BNBTC': 0.182}
2021-07-02 20:22:42,528 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228562529, 'TBTC': 14578.706, 'BTC': 33018.577, 'RATIO_BTC': 0.44, 'BUNNY': 14.88, 'BNBTC': 0.182}
2021-07-02 20:23:57,177 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228637177, 'TBTC': 14578.706, 'BTC': 33024.777, 'RATIO_BTC': 0.44, 'BUNNY': 14.882, 'BNBTC': 0.182}
2021-07-02 20:28:02,715 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:90] - INFO:  🚥 Luck...
2021-07-02 20:28:23,749 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228903750, 'TBTC': 14578.706, 'BTC': 32983.0, 'RATIO_BTC': 0.44, 'BUNNY': 14.865, 'BNBTC': 0.183}
2021-07-02 20:29:37,801 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625228977801, 'TBTC': 14578.706, 'BTC': 33030.285, 'RATIO_BTC': 0.44, 'BUNNY': 14.863, 'BNBTC': 0.184}
2021-07-02 20:30:51,935 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229051935, 'TBTC': 14578.706, 'BTC': 32970.502, 'RATIO_BTC': 0.44, 'BUNNY': 14.861, 'BNBTC': 0.182}
2021-07-02 20:32:04,564 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229124565, 'TBTC': 14578.706, 'BTC': 32991.711, 'RATIO_BTC': 0.44, 'BUNNY': 14.831, 'BNBTC': 0.182}
2021-07-02 20:33:15,261 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229195261, 'TBTC': 14467.131, 'BTC': 33032.214, 'RATIO_BTC': 0.44, 'BUNNY': 14.861, 'BNBTC': 0.182}
2021-07-02 20:34:48,378 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229288378, 'TBTC': 14467.131, 'BTC': 33151.89, 'RATIO_BTC': 0.44, 'BUNNY': 14.937, 'BNBTC': 0.182}
2021-07-02 20:36:03,688 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229363688, 'TBTC': 14467.131, 'BTC': 33151.461, 'RATIO_BTC': 0.44, 'BUNNY': 14.937, 'BNBTC': 0.182}
2021-07-02 20:37:16,367 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229436367, 'TBTC': 14467.131, 'BTC': 33144.46, 'RATIO_BTC': 0.44, 'BUNNY': 14.924, 'BNBTC': 0.182}
2021-07-02 20:38:31,424 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229511424, 'TBTC': 14467.131, 'BTC': 33188.549, 'RATIO_BTC': 0.44, 'BUNNY': 14.923, 'BNBTC': 0.182}
2021-07-02 20:39:41,672 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229581673, 'TBTC': 14467.131, 'BTC': 33142.918, 'RATIO_BTC': 0.44, 'BUNNY': 14.921, 'BNBTC': 0.182}
2021-07-02 20:40:50,823 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229650823, 'TBTC': 14467.131, 'BTC': 33138.473, 'RATIO_BTC': 0.44, 'BUNNY': 14.924, 'BNBTC': 0.182}
2021-07-02 20:42:00,375 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229720375, 'TBTC': 14467.131, 'BTC': 33141.746, 'RATIO_BTC': 0.44, 'BUNNY': 14.919, 'BNBTC': 0.182}
2021-07-02 20:43:08,852 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229788852, 'TBTC': 14467.131, 'BTC': 33145.8, 'RATIO_BTC': 0.44, 'BUNNY': 14.919, 'BNBTC': 0.182}
2021-07-02 20:44:20,638 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229860638, 'TBTC': 14467.131, 'BTC': 33118.621, 'RATIO_BTC': 0.44, 'BUNNY': 14.92, 'BNBTC': 0.182}
2021-07-02 20:45:35,493 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625229935493, 'TBTC': 14467.131, 'BTC': 33146.597, 'RATIO_BTC': 0.44, 'BUNNY': 14.924, 'BNBTC': 0.182}
2021-07-02 20:46:49,101 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230009101, 'TBTC': 14467.131, 'BTC': 33179.175, 'RATIO_BTC': 0.44, 'BUNNY': 14.902, 'BNBTC': 0.182}
2021-07-02 20:48:03,258 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230083259, 'TBTC': 14467.131, 'BTC': 33333.416, 'RATIO_BTC': 0.43, 'BUNNY': 14.96, 'BNBTC': 0.182}
2021-07-02 20:49:14,482 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230154482, 'TBTC': 14467.131, 'BTC': 33241.254, 'RATIO_BTC': 0.44, 'BUNNY': 14.963, 'BNBTC': 0.182}
2021-07-02 20:50:30,548 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230230548, 'TBTC': 14608.322, 'BTC': 33280.761, 'RATIO_BTC': 0.44, 'BUNNY': 14.965, 'BNBTC': 0.182}
2021-07-02 20:51:41,934 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230301934, 'TBTC': 14610.221, 'BTC': 33247.363, 'RATIO_BTC': 0.44, 'BUNNY': 14.967, 'BNBTC': 0.182}
2021-07-02 20:52:50,298 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230370298, 'TBTC': 14610.221, 'BTC': 33247.816, 'RATIO_BTC': 0.44, 'BUNNY': 14.967, 'BNBTC': 0.182}
2021-07-02 20:53:59,502 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230439502, 'TBTC': 14610.221, 'BTC': 33241.182, 'RATIO_BTC': 0.44, 'BUNNY': 14.966, 'BNBTC': 0.182}
2021-07-02 20:55:10,845 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230510845, 'TBTC': 14610.221, 'BTC': 33215.109, 'RATIO_BTC': 0.44, 'BUNNY': 14.96, 'BNBTC': 0.182}
2021-07-02 20:56:24,357 - /Users/w/Documents/Github/python_tool/coinTool/luck.py[line:38] - INFO: {'TIME': 1625230584357, 'TBTC': 14610.221, 'BTC': 33241.182, 'RATIO_BTC': 0.44, 'BUNNY': 14.959, 'BNBTC': 0.182}
